name,nomenclature,family,lifeform,growthform,l,t,k,f,r,n,sociology,rlg,rlb,neo
Lonicera_xylosteum,http://www.worldfloraonline.org/taxon/wfo-0000361644,Caprifoliaceae,P,wood,5,6,4,5,7,6,8400,*,na,0
Lycopus_europaeus,http://www.worldfloraonline.org/taxon/wfo-0000231391,Lamiaceae,N,perennial,7,6,5,9,7,7,1500,*,na,0
Lysimachia_nummularia,http://www.worldfloraonline.org/taxon/wfo-0000442792,Primulaceae,N,perennial,4,6,4,6,na,na,na,*,na,0
Lythrum_salicaria,http://www.worldfloraonline.org/taxon/wfo-0000366878,Lythraceae,N,perennial,7,5,5,8,6,na,5412,*,na,0
Matricaria_chamomilla,http://www.worldfloraonline.org/taxon/wfo-0000003146,Asteraceae,T,annual,7,6,5,5,5,5,3421,*,na,0
Medicago_lupulina,http://www.worldfloraonline.org/taxon/wfo-0000213454,Fabaceae,H_T,na,7,5,na,4,8,na,5322,*,na,0
Melilotus_officinalis,http://www.worldfloraonline.org/taxon/wfo-0000213864,Fabaceae,N,annual_biennial,8,6,6,3,8,3,3542,*,na,0
Mentha_aquatica,http://www.worldfloraonline.org/taxon/wfo-0000240328,Lamiaceae,N,perennial,7,5,3,9,7,5,1510,*,na,0
Mentha_longifolia,http://www.worldfloraonline.org/taxon/wfo-0000240918,Lamiaceae,N,perennial,7,5,4,8,9,7,3811,*,na,0
Myosotis_scorpioides,http://www.worldfloraonline.org/taxon/wfo-0000368596,Boraginaceae,na,na,4,na,na,6,na,na,na,*,na,0
Phalaris_arundinacea,http://www.worldfloraonline.org/taxon/wfo-0000889610,Poaceae,N,perennial,7,5,na,9,7,7,1510,*,na,0
Phragmites_australis,http://www.worldfloraonline.org/taxon/wfo-0000890172,Poaceae,N,perennial,7,5,na,10,7,7,1511,*,na,0
Pilosella_officinarum,http://www.worldfloraonline.org/taxon/wfo-0000068649,Asteraceae,N,perennial,7,na,3,4,na,2,5000,*,na,0
Pilosella_piloselloides,http://www.worldfloraonline.org/taxon/wfo-0000032468,Asteraceae,N,perennial,9,6,4,4,8,2,4441,*,na,0
Plantago_lanceolata,http://www.worldfloraonline.org/taxon/wfo-0000486603,Plantaginaceae,N,perennial,6,na,3,na,na,na,5400,*,na,0
Plantago_major,http://www.worldfloraonline.org/taxon/wfo-0000486544,Plantaginaceae,N,perennial,8,na,na,5,na,6,3710,*,na,0
Poa_annua,http://www.worldfloraonline.org/taxon/wfo-0000891536,Poaceae,T,na,7,na,5,6,na,8,na,*,na,0
Poa_compressa,http://www.worldfloraonline.org/taxon/wfo-0000892001,Poaceae,N,perennial,9,na,4,3,9,3,5424,*,na,0
Poa_palustris,http://www.worldfloraonline.org/taxon/wfo-0000893213,Poaceae,N,perennial,7,5,5,9,8,7,1510,*,na,0
Poa_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000893396,Poaceae,N,perennial,6,na,na,5,na,6,5400,*,na,0
Poa_trivalis,http://www.worldfloraonline.org/taxon/wfo-0000894135,Poaceae,N,perennial,6,na,3,7,na,7,5400,*,na,0
Populus_nigra,http://www.worldfloraonline.org/taxon/wfo-0000928297,Salicaceae,P,wood,5,6,6,8,7,7,8112,3,na,0
Potentilla_anserina,http://www.worldfloraonline.org/taxon/wfo-0001016615,Rosaceae,N,perennial,7,6,na,6,na,7,3811,*,na,0
Potentilla_erecta,http://www.worldfloraonline.org/taxon/wfo-0000984938,Rosaceae,N,perennial,6,na,3,na,na,2,5100,*,na,0
Potentilla_neumanniana,http://www.worldfloraonline.org/taxon/wfo-0000995744,Rosaceae,N,perennial,na,na,na,na,na,na,na,*,na,0
Potentilla_reptans,http://www.worldfloraonline.org/taxon/wfo-0001011690,Rosaceae,N,perennial,6,6,3,6,7,5,3811,*,na,0
Potentilla_sterilis,http://www.worldfloraonline.org/taxon/wfo-0000988128,Rosaceae,N,perennial,5,5,2,5,6,6,8432,*,na,0
Prunella_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000283746,Lamiaceae,N,perennial,7,na,3,5,7,na,5400,*,na,0
Ranunculus_acris,http://www.worldfloraonline.org/taxon/wfo-0000461396,Ranunculaceae,N,perennial,7,na,3,6,na,na,5400,*,na,0
Ranunculus_repens,http://www.worldfloraonline.org/taxon/wfo-0000463205,Ranunculaceae,N,perennial,6,na,na,7,na,na,na,*,na,0
Reseda_lutea,http://www.worldfloraonline.org/taxon/wfo-0000462651,Resedaceae,N,annual_biennial,7,6,3,3,8,5,3540,*,na,0
Rhinanthus_glacialis,http://www.worldfloraonline.org/taxon/wfo-0001138801,Scrophulariaceae,T,na,7,5,3,6,7,2,na,3,3,0
Rorippa_palustris,http://www.worldfloraonline.org/taxon/wfo-0000399555,Brassicaceae,T,na,7,na,na,8,na,8,na,*,na,0
Rubus_caesius,http://www.worldfloraonline.org/taxon/wfo-0001017340,Rosaceae,N,wood,6,5,4,na,8,7,na,*,na,0
Rumex_obtusifolius,http://www.worldfloraonline.org/taxon/wfo-0000403904,Polygonaceae,N,perennial,7,5,3,6,na,9,3811,*,na,0
Rumex_palustris,http://www.worldfloraonline.org/taxon/wfo-0000403943,Polygonaceae,T,annual_biennial,8,7,3,9,9,8,3211,*,3,0
Sagina_nodosa,http://www.worldfloraonline.org/taxon/wfo-0000438470,Caryophyllaceae,N,perennial,8,6,3,8,8,5,3811,2,na,0
Sagina_procumbens,http://www.worldfloraonline.org/taxon/wfo-0000438492,Caryophyllaceae,N,perennial,7,na,3,5,7,6,3711,*,na,0
Salix_alba,http://www.worldfloraonline.org/taxon/wfo-0000929085,Salicaceae,P,wood,5,6,6,8,8,7,8112,*,na,0
Salix_alba_x_purpurea,http://www.worldfloraonline.org/taxon/wfo-4000033844,Salicaceae,P,wood,na,na,na,na,na,na,na,na,na,na
Salix_aurita,http://www.worldfloraonline.org/taxon/wfo-0000928969,Salicaceae,P,wood,7,na,3,8,4,3,8212,*,na,0
Salix_caprea,http://www.worldfloraonline.org/taxon/wfo-0000929313,Salicaceae,P,wood,7,na,3,6,7,7,6213,*,na,0
Salix_cinerea,http://www.worldfloraonline.org/taxon/wfo-0000929149,Salicaceae,P,wood,7,na,5,9,5,4,8212,*,na,0
Salix_daphnoides,http://www.worldfloraonline.org/taxon/wfo-0000929163,Salicaceae,P,wood,6,na,4,8,8,4,8111,2,3,0
Salix_myrsinifolia,http://www.worldfloraonline.org/taxon/wfo-0000929897,Salicaceae,P,wood,7,4,6,7,8,6,na,3,na,0
Salix_purpurea,http://www.worldfloraonline.org/taxon/wfo-0000930408,Salicaceae,P,wood,8,5,4,na,8,na,8110,*,na,0
Salix_silesiaca,http://www.worldfloraonline.org/taxon/wfo-0000930238,Salicaceae,P,wood,na,na,na,na,na,na,na,*,na,0
Salix_triandra,http://www.worldfloraonline.org/taxon/wfo-0000929571,Salicaceae,P,wood,7,5,5,8,7,5,8112,*,na,0
Salix_viminalis,http://www.worldfloraonline.org/taxon/wfo-0000929391,Salicaceae,P,wood,7,6,7,8,7,na,8112,*,na,0
Scirpus_sylvaticus,http://www.worldfloraonline.org/taxon/wfo-0000546234,Cyperaceae,N,perennial,6,5,4,8,4,4,5415,*,na,0
Scrophularia_nodosa,http://www.worldfloraonline.org/taxon/wfo-0000496317,Scrophulariaceae,N,perennial,4,5,3,6,6,7,8430,*,na,0
Scrophularia_umbrosa,http://www.worldfloraonline.org/taxon/wfo-0000496178,Scrophulariaceae,N,perennial,7,6,5,9,8,7,3521,*,na,0
Scutellaria_galericulata,http://www.worldfloraonline.org/taxon/wfo-0000307828,Lamiaceae,N,perennial,7,6,5,9,7,6,1514,*,na,0
Silene_latifolia,http://www.worldfloraonline.org/taxon/wfo-0000440842,Caryophyllaceae,N,short_perennial,8,6,na,4,na,7,3000,*,na,0
Solanum_dulcamara,http://www.worldfloraonline.org/taxon/wfo-0001027661,Solanaceae,N,perennial,7,5,na,8,na,8,na,*,na,0
Solidago_canadensis,http://www.worldfloraonline.org/taxon/wfo-0000060775,Asteraceae,N,perennial,8,6,5,na,na,6,3500,*,na,1
Solidago_gigantea,http://www.worldfloraonline.org/taxon/wfo-0000132216,Asteraceae,N,perennial,8,6,5,6,na,7,3500,*,na,1
Sonchus_asper,http://www.worldfloraonline.org/taxon/wfo-0000031264,Asteraceae,T,annual,7,5,na,6,7,7,3310,*,na,0
Stellaria_aquatica,http://www.worldfloraonline.org/taxon/wfo-0000436514,Caryophyllaceae,N,perennial,7,5,3,8,7,8,3520,*,na,0
Symphytum_officinale,http://www.worldfloraonline.org/taxon/wfo-0000432219,Boraginaceae,N,perennial,7,6,3,8,na,8,na,*,na,0
Taraxacum_campylodes,http://www.worldfloraonline.org/taxon/wfo-0000093449,Asteraceae,N,na,7,na,na,5,na,7,na,*,na,0
Trifolium_hybridum,http://www.worldfloraonline.org/taxon/wfo-0000213009,Fabaceae,N,perennial,7,6,5,6,7,5,3811,*,na,0
Trifolium_pratense,http://www.worldfloraonline.org/taxon/wfo-0000213053,Fabaceae,N,perennial,7,na,3,na,na,na,5400,*,na,0
Tripleurospermum_maritimum,http://www.worldfloraonline.org/taxon/wfo-0000063085,Asteraceae,T,na,9,6,3,6,7,8,2810,*,na,0
Tussilago_farfara,http://www.worldfloraonline.org/taxon/wfo-0000117140,Asteraceae,N,perennial,8,na,3,6,8,na,3000,*,na,0
Typha_latifolia,http://www.worldfloraonline.org/taxon/wfo-0000595260,Typhaceae,N,perennial,8,6,5,10,7,8,1511,*,na,0
Urtica_dioica,http://www.worldfloraonline.org/taxon/wfo-0000416616,Urticaceae,N,perennial,na,na,na,6,7,8,3500,*,na,0
Valeriana_officinalis,http://www.worldfloraonline.org/taxon/wfo-0000426953,Valerianaceae,N,perennial,7,6,5,8,7,5,5412,*,na,0
Verbascum_densiflorum,http://www.worldfloraonline.org/taxon/wfo-0000420566,Scrophulariaceae,N,na,8,6,5,4,8,5,3541,*,na,0
Verbascum_nigrum,http://www.worldfloraonline.org/taxon/wfo-0000420517,Scrophulariaceae,N,short_perennial,7,5,5,5,7,7,6212,*,na,0
Verbascum_thapsus,http://www.worldfloraonline.org/taxon/wfo-0000419130,Scrophulariaceae,N,na,8,na,3,4,7,7,6210,*,na,0
Veronica_arvensis,http://www.worldfloraonline.org/taxon/wfo-0000419753,Scrophulariaceae,T,summer_annual,7,6,3,4,6,na,5200,*,na,0
Veronica_beccabunga,http://www.worldfloraonline.org/taxon/wfo-0000419789,Scrophulariaceae,N,perennial,7,na,3,10,7,6,1513,*,na,0
Veronica_catenata,http://www.worldfloraonline.org/taxon/wfo-0000419450,Scrophulariaceae,N,summer_annual,na,na,na,na,na,na,na,*,3,0
Viburnum_lantana,http://www.worldfloraonline.org/taxon/wfo-0000421166,Caprifoliaceae,P,wood,7,5,2,4,8,4,8412,*,na,0
Vicia_cracca,http://www.worldfloraonline.org/taxon/wfo-0000214046,Fabaceae,N,perennial,7,5,na,5,na,na,5400,*,na,0
