plot_id,plot_number,Altitude,Slope,Cover.tree.layer,Hoehe_bs,R_koord,H_koord,Zeit,Vegtyp
1984_362,362,370,2,30,15,12147490,49414020,historisch,Leucobryo_Pinetum.typicum
1984_504,504,560,2,30,18,12308510,49966050,historisch,Leucobryo_Pinetum.typicum
1984_481,481,570,3,15,18,12353130,49478770,historisch,Leucobryo_Pinetum.typicum
1984_480,480,570,5,15,18,12352850,49478470,historisch,Leucobryo_Pinetum.typicum
1984_162,162,490,10,30,15,12264867,49401017,historisch,Leucobryo_Pinetum.typicum
1984_318,318,600,3,40,10,12012640,49521480,historisch,Leucobryo_Pinetum.cladonietosum
1984_498,498,500,0,20,12,12201820,49818970,historisch,Leucobryo_Pinetum.cladonietosum
1984_284,284,580,5,20,12,12010900,49522100,historisch,Leucobryo_Pinetum.typicum
1984_285,285,570,3,30,12,12010230,49522580,historisch,Leucobryo_Pinetum.typicum
1984_280,280,600,5,40,12,12007450,49519700,historisch,Leucobryo_Pinetum.typicum
2016_453,453,425,2,30,28,12106750,49447367,aktuell,Leucobryo_Pinetum.molinietosum
2016_452,452,425,2,30,25,12107467,49447367,aktuell,Leucobryo_Pinetum.molinietosum
2016_510,510,525,5,15,25,12342200,49973450,aktuell,Leucobryo_Pinetum.molinietosum
2016_68,68,425,3,40,28,12106917,49447550,aktuell,Leucobryo_Pinetum.molinietosum
2016_506,506,490,0,40,24,12310520,49978900,aktuell,Leucobryo_Pinetum.molinietosum
2016_507,507,490,0,30,24,12310350,49978960,aktuell,Leucobryo_Pinetum.molinietosum
2016_505,505,535,3,30,22,12303448,49971263,aktuell,Leucobryo_Pinetum.molinietosum
2016_514,514,500,6,30,20,12270981,49394101,aktuell,Leucobryo_Pinetum.cladonietosum
2016_509,509,535,15,20,30,12342410,49974040,aktuell,Leucobryo_Pinetum.cladonietosum
2016_508,508,540,12,30,25,12342775,49974076,aktuell,Leucobryo_Pinetum.cladonietosum
2016_25,25,525,5,40,22,12297180,49437850,aktuell,Leucobryo_Pinetum.cladonietosum
2016_290,290,555,6,30,22,12302117,49374150,aktuell,Leucobryo_Pinetum.cladonietosum
2016_11,11,455,9,30,25,12156350,49474750,aktuell,Leucobryo_Pinetum.cladonietosum
2016_39,39,435,7,40,26,12206080,49425600,aktuell,Leucobryo_Pinetum.cladonietosum
2016_177,177,600,3,45,25,12295380,49484940,aktuell,Leucobryo_Pinetum.cladonietosum
2016_363,363,395,10,40,28,12148050,49414210,aktuell,Leucobryo_Pinetum.cladonietosum
2016_183,183,395,2,30,20,12362970,49359950,aktuell,Leucobryo_Pinetum.typicum
2016_489,489,630,2,30,30,12360791,49776176,aktuell,Leucobryo_Pinetum.typicum
2016_495,495,510,4,30,25,12235720,49826060,aktuell,Leucobryo_Pinetum.typicum
2016_435,435,510,4,40,30,12212583,49840267,aktuell,Leucobryo_Pinetum.typicum
2016_427,427,565,3,30,28,12384583,49924733,aktuell,Leucobryo_Pinetum.typicum
2016_67,67,520,0,10,20,12151360,49461590,aktuell,Leucobryo_Pinetum.typicum
2016_365,365,405,0,30,20,12152511,49414046,aktuell,Leucobryo_Pinetum.typicum
2016_362,362,385,12,40,26,12147490,49414020,aktuell,Leucobryo_Pinetum.typicum
2016_504,504,565,2,15,26,12308510,49966050,aktuell,Leucobryo_Pinetum.typicum
2016_481,481,570,5,40,30,12353130,49478770,aktuell,Leucobryo_Pinetum.typicum
2016_480,480,570,7,35,28,12352850,49478470,aktuell,Leucobryo_Pinetum.typicum
2016_162,162,480,10,20,26,12264867,49401017,aktuell,Leucobryo_Pinetum.typicum
2016_318,318,595,3,35,25,12012640,49521480,aktuell,Leucobryo_Pinetum.cladonietosum
2016_498,498,500,0,20,28,12201820,49818970,aktuell,Leucobryo_Pinetum.cladonietosum
2016_284,284,585,5,15,20,12010900,49522100,aktuell,Leucobryo_Pinetum.typicum
2016_285,285,580,3,30,26,12010230,49522580,aktuell,Leucobryo_Pinetum.typicum
2016_280,280,605,4,25,24,12007450,49519700,aktuell,Leucobryo_Pinetum.typicum
