"Agrostis_castellana" "Agrostis_pourretii" "Aira_cupaniana" "Alopecurus_arundinaceus" "Alopecurus_geniculatus" "Alyssum_granatense" "Andryala_integrifolia" "Anthemis_arvensis" "Anthoxanthum_aristatum" "Anthoxanthum_ovatum" "Aphanes_microcarpa" "Arrhenatherum_album" "Asterolinon_linum.stellatum" "Astragalus_pelecinus" "Avena_barbata" "Bellis_perennis" "Brassica_barrelieri" "Briza_minor" "Bromus_hordeaceus" "Bromus_tectorum" "Capsella_bursa.pastoris" "Carex_divisa" "Carum_verticillatum" "Centaurea_collina" "Centranthus_calcitrapae" "Cerastium_glomeratum" "Cerastium_pentandrum" "Cerastium_semidecandrum" "Chamaemelum_nobile" "Convolvulus_arvensis" "Coronilla_repanda" "Crassula_tillaea" "Crepis_capillaris" "Crepis_vesicaria" "Cynodon_dactylon" "Cynosurus_cristatus" "Cytisus_scoparius" "Dactylis_glomerata" "Daucus_carota" "Dipcadi_serotinum" "Echium_plantagineum" "Erodium_botrys" "Erodium_ciconium" "Erodium_cicutarium" "Eryngium_campestre" "Euphorbia_exigua" "Festuca_ampla" "Festuca_rothmalierii" "Filago_pyramidata" "Galium_parissiense" "Gaudinia_fragilis" "Geranium_molle" "Halimium_umbellatum" "Helianthemum_aegyptiacum" "Herniaria_glabra" "Herniaria_hirsuta" "Hieracium_pilosella" "Holcus_lanatus" "Holcus_setiglumis" "Hordeum_marinum" "Hymenocarpos_lotoides" "Hypericum_perforatum" "Hypochaeris_glabra" "Hypochaeris_radicata" "Isolepis_setacea" "Jasione_montana" "Juncus_bufonius" "Juncus_capitatus" "Juncus_squarrosus" "Lathyrus_angulatus" "Lavandula_stoechas" "Leontodon_taraxacoides" "Leontodon_tuberosus" "Linaria_spartea" "Linum_bienne" "Logfia_gallica" "Logfia_minima" "Lotus_corniculatus" "Lupinus_hispanicus" "Mentha_pulegium" "Merendera_bulbocodium" "Merendera_filifolia" "Merendera_pyrenaica" "Mibora_minima" "Micropyrum_tenellum" "Moenchia_erecta" "Montia_fontana" "Muscari_comosum" "Nardus_stricta" "Ornithopus_compressus" "Ornithopus_perpusillus" "Parentucellia_latifolia" "Petrorhagia_prolifera" "Plantago_bellardii" "Plantago_coronopus" "Plantago_lagopus" "Plantago_lanceolata" "Plantago_loeflingii" "Poa_annua" "Poa_bulbosa" "Poa_infirma" "Ranunculus_bulbosus" "Ranunculus_paludosus" "Ranunculus_trilobus" "Ranunculus_tuberosus" "Romulea_bulbocodium" "Rumex_acetosella" "Rumex_acetosella_ssp_angiocarpus" "Rumex_bucephalophorus" "Sanguisorba_officinalis" "Scleranthus_annuus" "Scleranthus_delorti" "Senecio_jacobaea" "Serapias_lingua" "Sherardia_arvensis" "Silene_gallica" "Silene_scabriflora" "Sisymbrium_officinale" "Spergula_arvensis" "Spergula_pentandra" "Spergularia_purpurea" "Spergularia_rubra" "Stellaria_media" "Stipa_lagascae" "Teesdalia_coronopifolia" "Thapsia_villosa" "Tolpis_barbata" "Trifolium_arvense" "Trifolium_campestre" "Trifolium_cernuum" "Trifolium_cherleri" "Trifolium_dubium" "Trifolium_gemellum" "Trifolium_glomeratum" "Trifolium_micranthum" "Trifolium_ornithopodioides" "Trifolium_repens" "Trifolium_resupinatum" "Trifolium_striatum" "Trifolium_strictum" "Trifolium_subterraneum" "Trifolium_suffocatum" "Veronica_arvensis" "Vicia_lathyroides" "Vulpia_ciliata" "Vulpia_m" "Xolantha_guttata"
"PES003" 0 0 0 0 0 0 0.0141843971631206 0 0 0 0 0 0 0 0.184397163120567 0 0.0283687943262411 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0141843971631206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.184397163120567 0 0 0 0 0 0 0 0 0.0921985815602837 0 0.0141843971631206 0 0 0 0 0 0 0 0 0 0 0 0.0141843971631206 0 0 0 0.106382978723404 0 0 0 0 0 0 0 0 0 0.120567375886525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0141843971631206 0 0 0 0 0 0 0 0.106382978723404 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.106382978723404 0
"PES004" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0102564102564103 0 0 0.0102564102564103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0871794871794872 0 0 0 0 0 0 0 0 0 0.517948717948718 0 0 0 0 0 0 0.0666666666666667 0.2 0 0 0.0102564102564103 0 0 0 0 0 0.0307692307692308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0666666666666667
"PES005" 0 0 0 0 0 0 0.0130718954248366 0 0 0 0 0 0 0 0.0130718954248366 0 0 0 0 0.0849673202614379 0 0 0 0 0 0 0 0 0 0 0.0130718954248366 0 0 0 0 0 0.0130718954248366 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0130718954248366 0 0 0 0 0 0 0 0 0.111111111111111 0 0 0.0130718954248366 0 0 0 0 0 0.0130718954248366 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0261437908496732 0 0 0 0 0 0 0 0 0 0.241830065359477 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0980392156862745 0 0 0 0 0 0 0.0130718954248366 0 0 0.0980392156862745 0.0261437908496732 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0980392156862745 0.111111111111111
"PES006" 0.0828025477707006 0 0 0 0 0 0 0 0.0127388535031847 0 0 0 0 0 0.248407643312102 0 0.0127388535031847 0 0.0127388535031847 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10828025477707 0 0 0 0 0 0 0 0.0127388535031847 0.0382165605095541 0 0.0127388535031847 0 0 0 0 0.0127388535031847 0 0 0 0 0 0 0 0 0.0127388535031847 0 0.0382165605095541 0 0 0.0127388535031847 0 0 0 0 0 0 0.318471337579618 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0127388535031847 0 0 0 0 0 0 0 0 0 0 0.0127388535031847 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0254777070063694 0.0127388535031847
"PES007" 0 0 0 0 0 0 0 0 0 0 0 0 0.0155038759689922 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0155038759689922 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0155038759689922 0 0.0465116279069767 0 0 0.0155038759689922 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0155038759689922 0 0 0 0 0.131782945736434 0 0 0 0 0 0 0 0 0 0.10077519379845 0 0 0 0 0 0 0 0.0155038759689922 0 0 0 0 0 0 0 0 0.0310077519379845 0 0 0.0155038759689922 0 0 0 0 0.0155038759689922 0 0.0465116279069767 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.488372093023256 0.0310077519379845
"PES008" 0 0 0 0 0 0 0 0 0 0 0 0 0.0213903743315508 0 0 0 0 0 0 0 0 0 0 0 0.0106951871657754 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0106951871657754 0 0 0 0 0 0 0 0 0 0.0106951871657754 0 0 0.0106951871657754 0 0 0 0.0106951871657754 0.0802139037433155 0.0106951871657754 0 0.0106951871657754 0 0 0 0 0.0213903743315508 0 0 0 0 0 0 0 0 0 0 0.0106951871657754 0 0 0 0 0 0 0 0 0 0.336898395721925 0 0 0 0 0 0 0 0 0 0 0.0106951871657754 0 0 0 0 0 0 0 0 0.0213903743315508 0 0 0 0 0.0213903743315508 0.0106951871657754 0 0.0106951871657754 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0106951871657754 0 0.336898395721925 0.0320855614973262
"PES009" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0515463917525773 0 0 0 0 0 0 0 0.00687285223367698 0 0.013745704467354 0 0 0 0 0 0 0.00687285223367698 0 0.0584192439862543 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00687285223367698 0 0 0.013745704467354 0 0 0 0 0 0 0.515463917525773 0 0 0.00687285223367698 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0446735395189003 0 0 0 0 0 0 0 0.00687285223367698 0 0 0.00687285223367698 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.171821305841924 0.0893470790378007
"CS001" 0 0 0 0 0 0 0.00814663951120163 0.0305498981670061 0 0 0 0 0 0 0 0 0.0305498981670061 0 0.00407331975560081 0 0 0 0 0 0 0 0 0.0122199592668024 0 0 0.0264765784114053 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00814663951120163 0 0.0305498981670061 0 0 0.00814663951120163 0 0 0 0 0 0 0 0.00814663951120163 0 0.00407331975560081 0 0 0 0 0 0 0 0 0 0.00407331975560081 0 0 0 0.0529531568228106 0 0 0.0264765784114053 0.0264765784114053 0 0.00814663951120163 0 0 0 0.0264765784114053 0 0 0 0 0 0 0 0.0529531568228106 0 0 0 0 0 0 0 0 0 0 0.0529531568228106 0 0 0 0 0 0.00814663951120163 0 0.0305498981670061 0.00814663951120163 0 0 0.00407331975560081 0 0 0.00407331975560081 0 0 0 0 0 0 0 0 0 0 0.00814663951120163 0.462321792260693 0.0529531568228106
"CS002" 0 0 0 0 0 0 0 0.00950118764845606 0 0 0 0 0 0 0 0 0 0 0.0308788598574822 0 0 0 0 0.118764845605701 0 0 0 0.00950118764845606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00475059382422803 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0403800475059382 0 0 0 0 0 0 0 0 0.0665083135391924 0 0 0 0.0308788598574822 0 0 0 0 0 0 0 0 0 0.00475059382422803 0 0 0 0 0 0 0 0 0 0.0926365795724465 0 0 0 0.178147268408551 0 0 0 0 0 0 0.00475059382422803 0 0 0 0.00475059382422803 0 0 0 0 0 0 0 0.00475059382422803 0 0 0 0 0.206650831353919 0 0 0.0356294536817102 0.00950118764845606 0 0 0.00950118764845606 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00950118764845606 0.118764845605701 0.00950118764845606
"CS003" 0 0 0 0 0 0 0.00945626477541371 0 0 0 0.00472813238770686 0 0 0 0 0 0.0354609929078014 0 0 0 0 0 0 0 0 0 0 0.00472813238770686 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0354609929078014 0.00472813238770686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0969267139479905 0 0 0 0 0 0 0 0 0.066193853427896 0 0.00472813238770686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00945626477541371 0 0.00472813238770686 0 0 0 0.0307328605200946 0 0 0 0.472813238770686 0 0 0 0 0 0 0.00472813238770686 0 0 0 0 0 0 0 0 0 0 0 0 0.0141843971631206 0 0 0 0.0354609929078014 0.00472813238770686 0 0.00945626477541371 0.00472813238770686 0 0 0 0 0 0.00472813238770686 0 0 0 0 0 0 0.0141843971631206 0 0.00472813238770686 0 0 0.122931442080378 0
"CS004" 0.04 0 0 0 0 0 0.0123076923076923 0.0184615384615385 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0123076923076923 0 0 0 0 0.00615384615384615 0 0 0 0 0 0 0 0 0.00615384615384615 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00615384615384615 0 0 0 0 0 0 0 0 0.0123076923076923 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00615384615384615 0.00615384615384615 0 0 0.00615384615384615 0.0184615384615385 0.00615384615384615 0 0 0 0.575384615384615 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0861538461538462 0.00615384615384615 0 0 0 0 0.00615384615384615 0 0.0123076923076923 0 0.0123076923076923 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00615384615384615 0.126153846153846 0.0123076923076923
"CS005" 0 0 0 0 0 0 0.0191387559808612 0 0 0 0 0 0 0 0 0 0.00956937799043062 0 0 0 0 0 0 0 0 0 0 0.00956937799043062 0 0 0.00956937799043062 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00956937799043062 0 0 0 0 0 0 0 0 0 0 0 0.0813397129186603 0 0.0191387559808612 0 0 0.0191387559808612 0 0 0 0 0 0.0287081339712919 0 0 0 0 0.00956937799043062 0 0 0 0 0 0 0 0 0 0 0 0 0.00956937799043062 0 0 0 0 0 0 0 0 0 0.363636363636364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00956937799043062 0 0 0 0 0 0 0 0.00956937799043062 0.00956937799043062 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.248803827751196 0.133971291866029
"CS006" 0 0 0 0 0 0 0.0150943396226415 0.0150943396226415 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00754716981132075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00754716981132075 0 0 0 0 0 0 0 0 0.0566037735849057 0 0 0.188679245283019 0 0 0 0 0 0.0641509433962264 0 0 0 0 0.00754716981132075 0 0 0 0 0 0 0.0150943396226415 0 0 0 0 0 0.00754716981132075 0 0 0 0 0 0.00754716981132075 0 0.0150943396226415 0 0.286792452830189 0 0 0 0 0 0 0.0981132075471698 0 0 0.00754716981132075 0 0 0 0 0 0 0.00754716981132075 0 0.00754716981132075 0 0 0 0 0 0.0150943396226415 0 0.00754716981132075 0.00754716981132075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0490566037735849 0.105660377358491
"CS007" 0 0 0 0 0 0 0.035799522673031 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00954653937947494 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00477326968973747 0 0 0 0 0 0 0 0.00477326968973747 0 0 0 0 0 0 0 0 0 0 0 0 0.0405727923627685 0 0 0 0 0 0 0 0 0.176610978520286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00477326968973747 0 0 0 0 0 0 0 0.20763723150358 0 0 0 0 0 0 0 0.178997613365155 0 0 0 0 0 0 0 0 0.00477326968973747 0 0 0.00477326968973747 0 0 0 0.00477326968973747 0.035799522673031 0 0 0.00954653937947494 0.00477326968973747 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.267303102625298 0.00477326968973747
