plot_id,Neigung,AspFav,St_dir_percent,St_diff_percent,St_tot_percent,Vorrat,GF,Stammz,SS_percent,KS_percent,MS_percent,B1_percent,B2_percent,B1plus2_percent,m_Sond,Fels_percent,Rueckeg_percent,Aufl_med,Aufl_min,Aufl_max,A_med,A_min,A_max,Min_med,Min_min,Min_max,Sond_med,Sond_min,Sond_max,Sond_var,Kollektiv,Gesells,S_Baum,S_Farn,S_Gras,S_Kraut,S_Moos,S_Strauch,S_Zwergstrauch,S_Vasc,S_Tot
27,3,4,"13,51","14,49",14,"43,609,904","39,818,885","13,265,306",5,1,1,80,20,84,"32,375",0,0,"39,5",30,73,0,0,15,0,0,29,32,5,60,"10,570,126",1,6,4,0,0,0,2,1,1,6,8
28,7,3,"23,52","16,42","19,97","48,014,419","46,732,438","10,714,286",10,1,0,90,30,93,"29,175",2,0,32,28,37,"3,5",0,8,"7,5",0,32,"29,5",7,56,"10,736,679",1,6,4,0,0,0,0,1,1,6,6
29,7,4,"19,17","15,8","17,49","16,657,799","20,541,689","11,734,694",5,1,1,80,8,"81,6","28,025,641",0,0,"21,5",7,35,"4,5",0,9,"4,5",0,24,"26,5",0,70,"14,492,062",1,4,4,0,0,0,4,1,1,6,10
30,6,1,"12,94","13,24","13,09","28,092,332","27,548,883","96,938,776",3,1,1,50,30,65,"24,325",0,0,"32,5",22,68,12,0,18,"22,5",0,38,"21,5",2,61,"13,576,729",1,4,4,0,0,0,3,1,1,6,9
31,4,4,"22,92","15,35","19,13","17,618,995","19,068,509","81,632,653",10,1,1,85,50,"92,5","47,342,105",1,0,"42,5",24,77,0,0,5,0,0,5,46,19,82,"14,636,637",1,5,5,0,0,0,3,1,1,7,10
32,17,3,"7,84","12,57","10,2","43,656,482","47,154,505","1,377,551",5,1,1,70,25,"77,5","42,394,737",2,0,42,38,43,0,0,10,0,0,14,42,21,68,"12,206,643",1,6,4,0,0,0,3,0,0,4,7
33,0,2,"11,83","15,9","13,87","51,770,433","50,886,947","18,877,551",5,1,1,80,45,89,"36,925",5,0,33,12,47,"4,5",0,10,"4,5",0,10,43,7,61,"16,776,644",1,6,4,0,0,0,0,0,0,4,4
34,23,0,"18,21","14,38","16,29","61,936,046","62,956,832","17,346,939",15,1,1,60,45,78,"29,225",0,0,30,28,33,"6,5",0,16,"10,5",0,36,27,0,64,"14,620,827",1,6,4,0,0,0,1,0,1,5,6
35,15,0,"9,33","14,69","12,01","47,546,647","50,949,466","14,795,918",5,1,1,70,50,85,"31,325",0,0,30,11,42,0,0,5,0,0,5,"29,5",7,64,"14,924,404",1,4,4,0,0,0,3,0,0,4,7
36,11,0,"13,93","13,58","13,75","28,913,427","36,037,954","14,795,918",8,1,1,85,8,"86,2","34,925",0,0,"25,5",15,33,5,0,20,"14,5",0,30,31,6,79,"16,576,764",1,6,4,0,0,0,1,0,0,4,5
37,17,0,"12,57","13,63","13,1","53,520,108","91,121,208","14,285,714",35,1,1,80,4,"80,8","38,4",0,0,"25,5",15,47,7,0,16,"19,5",0,32,"36,5",9,66,"14,767,949",1,6,4,0,0,0,1,0,0,4,5
38,19,4,"28,17","16,34","22,26","25,447,052","30,559,318","15,306,122",10,4,1,30,65,"75,5","27,075",0,0,20,8,53,0,0,0,0,0,0,"26,5",7,51,"98,953,175",1,7,5,0,1,0,0,3,3,12,12
39,25,4,"15,65","13,01","14,33","4,790,728","59,173,982","21,938,776",10,7,1,40,60,76,"30,025",0,0,"22,5",15,32,"1,5",0,7,"3,5",0,12,"28,5",8,47,"94,448,127",1,4,5,0,0,1,2,2,2,10,12
40,18,4,"12,85","15,26","14,06","4,780,959","52,128,156","18,367,347",10,1,1,50,70,85,"35,55",10,0,27,13,33,0,0,9,0,0,28,"35,5",4,73,"13,077,579",1,7,6,0,0,0,1,2,2,10,11
41,21,4,"17,4","14,73","16,07","11,720,645","10,698,806","15,816,327",10,1,1,65,70,"89,5","29,425",10,0,"41,5",30,45,1,0,18,1,0,18,27,4,64,"16,262,096",1,7,5,0,0,1,1,3,2,11,12
