year_site_plot,year,region,site,plot,treatment_original,treatment_weightedMonth,mean_temp_3month,mean_precip_3month,mean_temp_year_DWD,mean_precip_year_DWD,temp_longterm_cdc,precip_longterm_cdc,altitude,grassland_number,soil_type,soil_type_agrolab,pH,phosphorus,potassium,organic_substance,N_total_percent,CN_relation
2018_IN_A1_P1,2018,IS,IN_A1,IN_A1_P1,A_1a,wm_15,13.84,82.5,8.95,na,7.2,1060,681,23.5,Niedermoor,peat,5.4,2,4,39.3,1.81,13
2018_IN_A1_P2,2018,IS,IN_A1,IN_A1_P2,A_1c,wm_5,13.84,82.5,8.95,na,7.2,1060,681,23.5,Niedermoor,peat,5.4,2,4,39.3,1.81,13
2018_IN_A1_P3,2018,IS,IN_A1,IN_A1_P3,A_2,wm_16,13.84,82.5,8.95,na,7.2,1060,681,23.5,Niedermoor,peat,5.4,2,4,39.3,1.81,13
2018_IN_A1_P4,2018,IS,IN_A1,IN_A1_P4,A_1b,wm_6,13.84,82.5,8.95,na,7.2,1060,681,23.5,Niedermoor,peat,5.4,2,4,39.3,1.81,13
2018_IN_A1_P5,2018,IS,IN_A1,IN_A1_P5,A_ref,wm_28,13.84,82.5,8.95,na,7.2,1060,681,23.5,Niedermoor,peat,5.4,2,4,39.3,1.81,13
2018_IS_A1_P1,2018,IS,IS_A1,IS_A1_P1,A_1a,wm_15,13.84,82.5,8.95,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.2,6,6,30,1.31,13
2018_IS_A1_P3,2018,IS,IS_A1,IS_A1_P3,A_2,wm_16,13.84,82.5,8.95,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.2,6,6,30,1.31,13
2018_IS_A1_P4,2018,IS,IS_A1,IS_A1_P4,A_1b,wm_6,13.84,82.5,8.95,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.2,6,6,30,1.31,13
2018_IS_A1_P5,2018,IS,IS_A1,IS_A1_P5,A_ref,wm_28,13.84,82.5,8.95,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.2,6,6,30,1.31,13
2018_RES_A1_P1,2018,KE,RES_A1,RES_A1_P1,A_1a,wm_15,14.28,76.6,9.45,1002.2,7.1,1005,708,39,Niedermoor,peat,4.3,4,5,54.4,1.4,23
2018_RES_A1_P2,2018,KE,RES_A1,RES_A1_P2,A_1c,wm_5,14.28,76.6,9.45,1002.2,7.1,1005,708,39,Niedermoor,peat,4.3,4,5,54.4,1.4,23
2018_RES_A1_P3,2018,KE,RES_A1,RES_A1_P3,A_2,wm_16,14.28,76.6,9.45,1002.2,7.1,1005,708,39,Niedermoor,peat,4.3,4,5,54.4,1.4,23
2018_RES_A1_P4,2018,KE,RES_A1,RES_A1_P4,A_1b,wm_6,14.28,76.6,9.45,1002.2,7.1,1005,708,39,Niedermoor,peat,4.3,4,5,54.4,1.4,23
2018_RES_A1_P5,2018,KE,RES_A1,RES_A1_P5,A_ref,wm_28,14.28,76.6,9.45,1002.2,7.1,1005,708,39,Niedermoor,peat,4.3,4,5,54.4,1.4,23
2018_STS_A1_P1,2018,ST,STS_A1,STS_A1_P1,A_1a,wm_15,14.14,59.3,9.42,771.7,7.4,1008,729,20,Niedermoor,peat,5.2,2,3,32.5,1.26,15
2018_STS_A1_P2,2018,ST,STS_A1,STS_A1_P2,A_1c,wm_5,14.14,59.3,9.42,771.7,7.4,1008,729,20,Niedermoor,peat,5.2,2,3,32.5,1.26,15
2018_STS_A1_P3,2018,ST,STS_A1,STS_A1_P3,A_2,wm_16,14.14,59.3,9.42,771.7,7.4,1008,729,20,Niedermoor,peat,5.2,2,3,32.5,1.26,15
2018_STS_A1_P4,2018,ST,STS_A1,STS_A1_P4,A_1b,wm_6,14.14,59.3,9.42,771.7,7.4,1008,729,20,Niedermoor,peat,5.2,2,3,32.5,1.26,15
2018_STS_A1_P5,2018,ST,STS_A1,STS_A1_P5,A_ref,wm_28,14.14,59.3,9.42,771.7,7.4,1008,729,20,Niedermoor,peat,5.2,2,3,32.5,1.26,15
2021_HE_A1_P1,2021,ST,HE_A1,HE_A1_P1,A_1a,wm_15,10.29,120,na,na,7.4,1008,730,16,Hochmoor,MhSOM,5.9,8,9,22.1,0.84,15
2021_HE_A1_P2,2021,ST,HE_A1,HE_A1_P2,A_1c,wm_5,10.29,120,na,na,7.4,1008,730,16,Hochmoor,MhSOM,5.9,8,9,22.1,0.84,15
2021_HE_A1_P3,2021,ST,HE_A1,HE_A1_P3,A_2,wm_16,10.29,120,na,na,7.4,1008,730,16,Hochmoor,MhSOM,5.9,8,9,22.1,0.84,15
2021_HE_A1_P4,2021,ST,HE_A1,HE_A1_P4,A_1b,wm_6,10.29,120,na,na,7.4,1008,730,16,Hochmoor,MhSOM,5.9,8,9,22.1,0.84,15
2021_HE_A1_P5,2021,ST,HE_A1,HE_A1_P5,A_ref,wm_28,10.29,120,na,na,7.4,1008,730,16,Hochmoor,MhSOM,5.9,8,9,22.1,0.84,15
2021_HO_A1_P1,2021,HO,HO_A1,HO_A1_P1,A_1a,wm_15,9.95,132.9,na,na,6.5,1032,843,32,Gley,MhSOM,5.1,9,11,24.9,1.05,14
2021_HO_A1_P2,2021,HO,HO_A1,HO_A1_P2,A_1c,wm_5,9.95,132.9,na,na,6.5,1032,843,32,Gley,MhSOM,5.1,9,11,24.9,1.05,14
2021_HO_A1_P3,2021,HO,HO_A1,HO_A1_P3,A_2,wm_16,9.95,132.9,na,na,6.5,1032,843,32,Gley,MhSOM,5.1,9,11,24.9,1.05,14
2021_HO_A1_P4,2021,HO,HO_A1,HO_A1_P4,A_1b,wm_6,9.95,132.9,na,na,6.5,1032,843,32,Gley,MhSOM,5.1,9,11,24.9,1.05,14
2021_HO_A1_P5,2021,HO,HO_A1,HO_A1_P5,A_ref,wm_28,9.95,132.9,na,na,6.5,1032,843,32,Gley,MhSOM,5.1,9,11,24.9,1.05,14
2021_IN_A1_P1,2021,IS,IN_A1,IN_A1_P1,A_1a,wm_15,10.5,141.6,na,na,7.2,1060,681,23.5,Niedermoor,peat,5.4,2,4,39.3,1.81,13
2021_IN_A1_P2,2021,IS,IN_A1,IN_A1_P2,A_1c,wm_5,10.5,141.6,na,na,7.2,1060,681,23.5,Niedermoor,peat,5.4,2,4,39.3,1.81,13
2021_IN_A1_P3,2021,IS,IN_A1,IN_A1_P3,A_2,wm_16,10.5,141.6,na,na,7.2,1060,681,23.5,Niedermoor,peat,5.4,2,4,39.3,1.81,13
2021_IN_A1_P4,2021,IS,IN_A1,IN_A1_P4,A_1b,wm_6,10.5,141.6,na,na,7.2,1060,681,23.5,Niedermoor,peat,5.4,2,4,39.3,1.81,13
2021_IN_A1_P5,2021,IS,IN_A1,IN_A1_P5,A_ref,wm_28,10.5,141.6,na,na,7.2,1060,681,23.5,Niedermoor,peat,5.4,2,4,39.3,1.81,13
2021_IS_A1_P1,2021,IS,IS_A1,IS_A1_P1,A_1a,wm_15,10.5,141.6,na,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.2,6,6,30,1.31,13
2021_IS_A1_P3,2021,IS,IS_A1,IS_A1_P3,A_2,wm_16,10.5,141.6,na,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.2,6,6,30,1.31,13
2021_IS_A1_P4,2021,IS,IS_A1,IS_A1_P4,A_1b,wm_6,10.5,141.6,na,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.2,6,6,30,1.31,13
2021_IS_A1_P5,2021,IS,IS_A1,IS_A1_P5,A_ref,wm_28,10.5,141.6,na,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.2,6,6,30,1.31,13
2021_RES_A1_P1,2021,KE,RES_A1,RES_A1_P1,A_1a,wm_15,11,124.8,na,na,7.1,1005,708,39,Niedermoor,peat,4.3,4,5,54.4,1.4,23
2021_RES_A1_P2,2021,KE,RES_A1,RES_A1_P2,A_1c,wm_5,11,124.8,na,na,7.1,1005,708,39,Niedermoor,peat,4.3,4,5,54.4,1.4,23
2021_RES_A1_P3,2021,KE,RES_A1,RES_A1_P3,A_2,wm_16,11,124.8,na,na,7.1,1005,708,39,Niedermoor,peat,4.3,4,5,54.4,1.4,23
2021_RES_A1_P4,2021,KE,RES_A1,RES_A1_P4,A_1b,wm_6,11,124.8,na,na,7.1,1005,708,39,Niedermoor,peat,4.3,4,5,54.4,1.4,23
2021_RES_A1_P5,2021,KE,RES_A1,RES_A1_P5,A_ref,wm_28,11,124.8,na,na,7.1,1005,708,39,Niedermoor,peat,4.3,4,5,54.4,1.4,23
2021_STS_A1_P1,2021,ST,STS_A1,STS_A1_P1,A_1a,wm_15,10.29,120,na,na,7.4,1008,729,20,Niedermoor,peat,5.2,2,3,32.5,1.26,15
2021_STS_A1_P2,2021,ST,STS_A1,STS_A1_P2,A_1c,wm_5,10.29,120,na,na,7.4,1008,729,20,Niedermoor,peat,5.2,2,3,32.5,1.26,15
2021_STS_A1_P3,2021,ST,STS_A1,STS_A1_P3,A_2,wm_16,10.29,120,na,na,7.4,1008,729,20,Niedermoor,peat,5.2,2,3,32.5,1.26,15
2021_STS_A1_P4,2021,ST,STS_A1,STS_A1_P4,A_1b,wm_6,10.29,120,na,na,7.4,1008,729,20,Niedermoor,peat,5.2,2,3,32.5,1.26,15
2021_STS_A1_P5,2021,ST,STS_A1,STS_A1_P5,A_ref,wm_28,10.29,120,na,na,7.4,1008,729,20,Niedermoor,peat,5.2,2,3,32.5,1.26,15
