plot,site,latitude,longitude,elevation,plot_size,exposition,orientation,sand_ratio,substrate_depth,target_type,seed_density,survey_date.seeded,survey_date.2018,survey_date.2019,survey_date.2020,survey_date.2021,botanist.2018,botanist.2019,botanist.2020,botanist.2021,vegetation_cover.2018,vegetation_cover.2019,vegetation_cover.2020,vegetation_cover.2021,biomass.2019
L1_20,1,4883856,1287752,314,6,south,land,25,30,hay_meadow,8,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,50,80,75,80,NA
L1_21,1,4883856,1287752,314,6,south,land,50,30,hay_meadow,8,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,30,60,70,90,NA
L1_22,1,4883856,1287752,314,6,south,land,50,30,dry_grassland,8,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,65,60,70,90,NA
L1_23,1,4883856,1287752,314,6,south,land,50,30,hay_meadow,4,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,60,60,75,90,NA
L1_24,1,4883856,1287752,314,6,south,land,50,30,dry_grassland,4,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,60,80,85,90,NA
L2_01,2,4883853,1288117,314,6,south,land,0,15,hay_meadow,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,45,60,50,50,NA
L2_02,2,4883853,1288117,314,6,south,land,0,15,dry_grassland,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,55,60,55,50,NA
L2_03,2,4883853,1288117,314,6,south,land,0,15,hay_meadow,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,65,60,70,80,NA
L2_04,2,4883853,1288117,314,6,south,land,0,15,dry_grassland,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,40,70,70,70,NA
L2_05,2,4883853,1288117,314,6,south,land,25,15,hay_meadow,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,30,70,65,70,NA
L2_06,2,4883853,1288117,314,6,south,land,25,15,dry_grassland,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,30,70,65,80,NA
L2_07,2,4883853,1288117,314,6,south,land,25,15,dry_grassland,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,25,80,70,80,NA
L2_08,2,4883853,1288117,314,6,south,land,25,15,hay_meadow,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,20,60,65,80,NA
L2_09,2,4883853,1288117,314,6,south,land,50,15,dry_grassland,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,60,60,60,80,NA
L2_10,2,4883853,1288117,314,6,south,land,50,15,dry_grassland,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,45,40,60,80,NA
L2_11,2,4883853,1288117,314,6,south,land,50,15,hay_meadow,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,40,60,60,70,NA
L2_12,2,4883853,1288117,314,6,south,land,50,15,hay_meadow,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,65,30,30,40,NA
L2_13,2,4883853,1288117,314,6,south,land,0,30,hay_meadow,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,70,50,65,70,NA
L2_14,2,4883853,1288117,314,6,south,land,0,30,dry_grassland,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,80,70,80,90,NA
L2_15,2,4883853,1288117,314,6,south,land,0,30,dry_grassland,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,85,80,70,60,NA
L2_16,2,4883853,1288117,314,6,south,land,0,30,hay_meadow,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,80,80,85,70,NA
L2_17,2,4883853,1288117,314,6,south,land,25,30,dry_grassland,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,65,80,80,70,NA
L2_18,2,4883853,1288117,314,6,south,land,25,30,hay_meadow,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,50,70,65,80,NA
L2_19,2,4883853,1288117,314,6,south,land,25,30,dry_grassland,4,2018-04-27,2018-07-20,2019-06-20,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,30,60,55,80,NA
L2_20,2,4883853,1288117,314,6,south,land,25,30,hay_meadow,8,2018-04-27,2018-07-20,2019-06-20,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,75,70,75,80,NA
L2_21,2,4883853,1288117,314,6,south,land,50,30,hay_meadow,4,2018-04-27,2018-07-20,2019-06-20,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,70,60,75,90,NA
L2_22,2,4883853,1288117,314,6,south,land,50,30,hay_meadow,8,2018-04-27,2018-07-20,2019-06-20,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,55,60,65,60,NA
L2_23,2,4883853,1288117,314,6,south,land,50,30,dry_grassland,4,2018-04-27,2018-07-20,2019-06-20,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,60,70,60,70,NA
L2_24,2,4883853,1288117,314,6,south,land,50,30,dry_grassland,8,2018-04-27,2018-07-20,2019-06-20,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,75,60,80,70,NA
L3_01,3,4883887,1288363,314,6,south,land,0,15,hay_meadow,4,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,25,80,70,80,NA
L3_02,3,4883887,1288363,314,6,south,land,0,15,dry_grassland,8,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,20,85,75,80,NA
L3_03,3,4883887,1288363,314,6,south,land,0,15,hay_meadow,8,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,20,70,70,70,NA
L3_04,3,4883887,1288363,314,6,south,land,0,15,dry_grassland,4,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,25,70,75,80,NA
L3_05,3,4883887,1288363,314,6,south,land,25,15,hay_meadow,8,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,25,70,65,70,NA
L3_06,3,4883887,1288363,314,6,south,land,25,15,hay_meadow,4,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,20,50,55,60,NA
L3_07,3,4883887,1288363,314,6,south,land,25,15,dry_grassland,4,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,25,70,60,80,NA
L3_08,3,4883887,1288363,314,6,south,land,25,15,dry_grassland,8,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,20,70,65,60,NA
L3_09,3,4883887,1288363,314,6,south,land,50,15,dry_grassland,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,45,70,65,70,NA
L3_10,3,4883887,1288363,314,6,south,land,50,15,hay_meadow,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,70,50,60,50,NA
L3_11,3,4883887,1288363,314,6,south,land,50,15,dry_grassland,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,20,50,50,50,NA
L3_12,3,4883887,1288363,314,6,south,land,50,15,hay_meadow,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,20,50,50,60,NA
L3_13,3,4883887,1288363,314,6,south,land,0,30,hay_meadow,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,40,80,75,70,NA
L3_14,3,4883887,1288363,314,6,south,land,0,30,dry_grassland,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,30,70,75,70,NA
L3_15,3,4883887,1288363,314,6,south,land,0,30,hay_meadow,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,45,70,80,80,NA
L3_16,3,4883887,1288363,314,6,south,land,0,30,dry_grassland,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,40,70,75,70,NA
L3_17,3,4883887,1288363,314,6,south,land,25,30,dry_grassland,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,55,85,80,70,NA
L3_18,3,4883887,1288363,314,6,south,land,25,30,dry_grassland,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,55,70,75,80,NA
L3_19,3,4883887,1288363,314,6,south,land,25,30,hay_meadow,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,50,80,80,80,NA
L3_20,3,4883887,1288363,314,6,south,land,25,30,hay_meadow,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,70,80,80,80,NA
L3_21,3,4883887,1288363,314,6,south,land,50,30,hay_meadow,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,60,70,75,70,NA
L3_22,3,4883887,1288363,314,6,south,land,50,30,dry_grassland,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,70,70,70,70,NA
L3_23,3,4883887,1288363,314,6,south,land,50,30,hay_meadow,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,75,70,80,70,NA
L3_24,3,4883887,1288363,314,6,south,land,50,30,dry_grassland,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,50,70,70,80,NA
L4_01,4,4883906,1288474,314,6,south,land,0,15,dry_grassland,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,50,60,65,80,NA
L4_02,4,4883906,1288474,314,6,south,land,0,15,dry_grassland,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,40,80,85,70,NA
L4_03,4,4883906,1288474,314,6,south,land,0,15,hay_meadow,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,25,60,65,70,NA
L4_04,4,4883906,1288474,314,6,south,land,0,15,hay_meadow,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,20,60,60,70,NA
L4_05,4,4883906,1288474,314,6,south,land,25,15,dry_grassland,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,25,60,40,50,NA
L4_06,4,4883906,1288474,314,6,south,land,25,15,hay_meadow,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,35,60,50,60,NA
L4_07,4,4883906,1288474,314,6,south,land,25,15,dry_grassland,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,30,60,55,50,NA
L4_08,4,4883906,1288474,314,6,south,land,25,15,hay_meadow,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,45,60,60,60,NA
L4_09,4,4883906,1288474,314,6,south,land,50,15,hay_meadow,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,55,60,65,70,NA
L4_10,4,4883906,1288474,314,6,south,land,50,15,dry_grassland,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,45,60,40,70,NA
L4_11,4,4883906,1288474,314,6,south,land,50,15,dry_grassland,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,45,60,45,70,NA
L4_12,4,4883906,1288474,314,6,south,land,50,15,hay_meadow,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,25,40,40,60,NA
L4_13,4,4883906,1288474,314,6,south,land,0,30,hay_meadow,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,45,70,80,80,NA
L4_14,4,4883906,1288474,314,6,south,land,0,30,dry_grassland,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,55,70,70,70,NA
L4_15,4,4883906,1288474,314,6,south,land,0,30,dry_grassland,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,60,80,80,90,NA
L4_16,4,4883906,1288474,314,6,south,land,0,30,hay_meadow,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,30,70,65,90,NA
L4_17,4,4883906,1288474,314,6,south,land,25,30,hay_meadow,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,35,65,50,70,NA
L4_18,4,4883906,1288474,314,6,south,land,25,30,hay_meadow,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,60,70,55,70,NA
L4_19,4,4883906,1288474,314,6,south,land,25,30,dry_grassland,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,40,70,55,60,NA
L4_20,4,4883906,1288474,314,6,south,land,25,30,dry_grassland,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,40,70,55,70,NA
L4_21,4,4883906,1288474,314,6,south,land,50,30,dry_grassland,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,30,60,55,70,NA
L4_22,4,4883906,1288474,314,6,south,land,50,30,hay_meadow,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,20,60,55,70,NA
L4_23,4,4883906,1288474,314,6,south,land,50,30,hay_meadow,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,35,60,50,70,NA
L4_24,4,4883906,1288474,314,6,south,land,50,30,dry_grassland,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,Jakob Huber,Linda Weggler,Katharina Beck,Markus Bauer,20,50,45,70,NA
L5_01,5,4883968,1288828,314,6,south,land,0,15,dry_grassland,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,50,95,80,80,NA
L5_02,5,4883968,1288828,314,6,south,land,0,15,hay_meadow,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,20,60,70,60,NA
L5_03,5,4883968,1288828,314,6,south,land,0,15,dry_grassland,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,15,50,60,50,NA
L5_04,5,4883968,1288828,314,6,south,land,0,15,hay_meadow,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,15,50,60,70,NA
L5_05,5,4883968,1288828,314,6,south,land,25,15,hay_meadow,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,10,60,65,70,NA
L5_06,5,4883968,1288828,314,6,south,land,25,15,dry_grassland,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,15,70,70,60,NA
L5_07,5,4883968,1288828,314,6,south,land,25,15,dry_grassland,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,20,55,70,70,NA
L5_08,5,4883968,1288828,314,6,south,land,25,15,hay_meadow,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,15,85,80,80,NA
L5_09,5,4883968,1288828,314,6,south,land,50,15,hay_meadow,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,30,30,55,50,NA
L5_10,5,4883968,1288828,314,6,south,land,50,15,dry_grassland,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,40,80,70,80,NA
L5_11,5,4883968,1288828,314,6,south,land,50,15,dry_grassland,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,40,45,80,80,NA
L5_12,5,4883968,1288828,314,6,south,land,50,15,hay_meadow,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,35,45,80,80,NA
L5_13,5,4883968,1288828,314,6,south,land,0,30,hay_meadow,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,40,85,80,70,NA
L5_14,5,4883968,1288828,314,6,south,land,0,30,dry_grassland,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,25,90,80,80,NA
L5_15,5,4883968,1288828,314,6,south,land,0,30,dry_grassland,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,30,75,80,70,NA
L5_16,5,4883968,1288828,314,6,south,land,0,30,hay_meadow,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,15,70,80,70,NA
L5_17,5,4883968,1288828,314,6,south,land,25,30,hay_meadow,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,50,85,85,60,NA
L5_18,5,4883968,1288828,314,6,south,land,25,30,dry_grassland,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,50,85,75,70,NA
L5_19,5,4883968,1288828,314,6,south,land,25,30,hay_meadow,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,45,75,75,80,NA
L5_20,5,4883968,1288828,314,6,south,land,25,30,dry_grassland,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,70,90,80,70,NA
L5_21,5,4883968,1288828,314,6,south,land,50,30,dry_grassland,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,70,70,75,70,NA
L5_22,5,4883968,1288828,314,6,south,land,50,30,hay_meadow,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,60,55,65,70,NA
L5_23,5,4883968,1288828,314,6,south,land,50,30,dry_grassland,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,Simon Reith,Markus Bauer,Jakob Huber,Markus Bauer,40,75,80,70,NA
