accepted_name,accepted_name_url,accepted_family,growth_form_2,parasite_1,plant_height_mean,seed_mass_mean,dispersal_syndrome_1,pollination_syndrome_1,flowering_start,flower_colour,sla_mean,nitrogen_fix_1,source,l,t,m,r,n,s
Cardamine impatiens,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280391-1,Brassicaceae,forb,independent,0.379,2.34e-4,autochorous,biotic,May,NA,338,NA,Ellenberg,5,NA,6,7,8,0
Cardamine trifolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280715-1,Brassicaceae,herb,independent,0.175,0.001643,autochorous,NA,NA,NA,NA,NA,Ellenberg,3,4,6,8,7,0
Carduus personata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188942-1,Asteraceae,herb,independent,0.825,0.001802,NA,biotic,Jul,NA,NA,NA,Ellenberg,7,4,8,8,8,0
Carex alba,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30265209-2,Cyperaceae,NA,independent,0.1,0.00198925,NA,NA,NA,NA,239.4,NA,Ellenberg,5,5,4,8,2,0
Carex brizoides,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298947-1,Cyperaceae,graminoid,independent,0.5,3e-4,NA,abiotic,NA,NA,248.25,NA,Ellenberg,6,5,6,4,3,0
Carex digitata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:299459-1,Cyperaceae,graminoid,independent,0.1,0.0012675,NA,abiotic,Apr,NA,303.1,NA,Ellenberg,3,NA,5,NA,4,0
Carex ornithopoda,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:301357-1,Cyperaceae,herb,independent,0.04,7.975e-4,NA,abiotic,NA,NA,305.8,NA,Ellenberg,6,NA,3,9,3,0
Carex paniculata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30075588-2,Cyperaceae,graminoid,independent,0.525,7.81e-4,unspecialized,abiotic,NA,brown,159.82,no,Ellenberg,7,NA,9,6,4,0
Carex pendula,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:301492-1,Cyperaceae,graminoid,independent,0.5,6.67444333333333e-4,hydrochorous,abiotic,May,NA,133,NA,Ellenberg,5,5,8,6,6,0
Carex sylvatica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302516-1,Cyperaceae,graminoid,independent,0.425,0.0015385,NA,abiotic,May,NA,309,NA,Ellenberg,2,5,5,6,5,0
Chaerophyllum hirsutum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:840199-1,Apiaceae,herb,independent,0.575,0.003179,zoochorous,biotic,NA,NA,279.05,NA,Ellenberg,6,3,8,NA,7,0
Cicuta virosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:840414-1,Apiaceae,forb,independent,0.7625,0.00126733333333333,NA,biotic,Jun,NA,209.6,NA,Ellenberg,7,6,9,5,5,0
Cirsium arvense,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195034-1,Asteraceae,NA,independent,0.720666666666667,0.00150064275,anemochorous,biotic,NA,NA,154.02,no,Ellenberg,8,5,NA,NA,7,1
Cirsium oleraceum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195767-1,Asteraceae,forb,independent,0.8,0.002592,NA,biotic,Jul,NA,300.78,NA,Ellenberg,6,NA,7,7,5,0
Clematis vitalba,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319145-2,Ranunculaceae,shrub,independent,20,0.002607,NA,biotic,Jun,NA,242.9,no,Ellenberg,7,6,5,7,7,0
Convallaria majalis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:533487-1,Asparagaceae,forb,independent,0.21,0.052930611,zoochorous,biotic,May,NA,289.67,NA,Ellenberg,5,NA,4,NA,4,0
Cornus sanguinea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:271661-1,Cornaceae,shrub,independent,2.219,0.0745273428,zoochorous,biotic,NA,NA,173.78,NA,Ellenberg,7,5,5,7,NA,0
Corydalis cava,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:672129-1,Papaveraceae,herb,independent,0.158,0.01015,zoochorous,biotic,Mar,NA,504.05,NA,Ellenberg,3,6,6,8,8,0
Dactylis glomerata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1,Poaceae,NA,independent,0.704666666666667,9.18702666666667e-4,NA,abiotic,NA,NA,247.66,NA,Ellenberg,7,NA,5,NA,6,0
Daphne mezereum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:831294-1,Thymelaeaceae,NA,independent,0.762,0.0672833335,zoochorous,biotic,Mar,NA,289.16,NA,Ellenberg,4,NA,5,7,5,0
Deschampsia cespitosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397953-1,Poaceae,NA,independent,0.515666666666667,0.0055817076,anemochorous,abiotic,NA,NA,202.045,no,Ellenberg,6,NA,7,NA,3,0
Dryopteris carthusiana,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17390210-1,Dryopteridaceae,forb,independent,0.375,NA,anemochorous,abiotic,Jul,NA,251,NA,Ellenberg,5,NA,NA,4,3,0
Equisetum arvense,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:300073-2,Equisetaceae,forb,independent,0.2975,NA,NA,abiotic,Mar,NA,103.54,NA,Ellenberg,6,NA,NA,NA,3,0
Equisetum hyemale,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:92939-2,Equisetaceae,forb,independent,0.95,NA,NA,NA,NA,NA,28.8,NA,Ellenberg,5,5,7,7,6,0
Eupatorium cannabinum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:205581-1,Asteraceae,forb,independent,1,3.048335e-4,anemochorous,biotic,Jul,NA,292.26,NA,Ellenberg,7,5,7,7,8,0
Fagus sylvatica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:305836-2,Fagaceae,tree,independent,31.071,0.2128102855,NA,abiotic,May,NA,173.92,NA,Ellenberg,3,5,5,NA,NA,0
Filipendula ulmaria,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:724943-1,Rosaceae,forb,independent,0.896,7.55e-4,NA,biotic,Jun,NA,243,NA,Ellenberg,7,5,8,NA,5,0
Fraxinus excelsior,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:609009-1,Oleaceae,tree,independent,28.6,0.064259159,anemochorous,abiotic,Apr,NA,136.51,NA,Ellenberg,4,5,NA,7,7,0
Galium aparine,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30007294-2,Rubiaceae,NA,independent,0.559333333333333,0.006411909,zoochorous,biotic,NA,white,346.79,no,Ellenberg,7,6,NA,6,8,0
Galium mollugo,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750253-1,Rubiaceae,NA,independent,0.7,7.055e-4,unspecialized,biotic,NA,NA,268.76,no,Ellenberg,7,6,4,7,NA,0
Geranium phaeum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:373470-1,Geraniaceae,herb,independent,0.392,0.00388,NA,biotic,May,NA,343.7,NA,Ellenberg,6,NA,5,6,5,0
Geranium robertianum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:109269-2,Geraniaceae,NA,independent,0.2585,0.0014619545,unspecialized,biotic,May,NA,326.83,no,Ellenberg,5,NA,NA,NA,7,0
Geum urbanum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:725399-1,Rosaceae,forb,independent,0.3835,0.0019582,zoochorous,biotic,May,NA,384.64,NA,Ellenberg,4,5,5,NA,7,0
Glechoma hederacea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:447338-1,Lamiaceae,NA,independent,0.288,6.79e-4,zoochorous,biotic,Apr,NA,347.2,NA,Ellenberg,6,6,6,NA,7,0
Gymnadenia odoratissima,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:636568-1,Orchidaceae,herb,independent,0.15,NA,anemochorous,biotic,Jun,NA,221.7,NA,Ellenberg,6,NA,4,9,2,0
Holcus lanatus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:405034-1,Poaceae,NA,independent,0.675,3.3799725e-4,NA,abiotic,NA,NA,340.36,no,Ellenberg,7,6,6,NA,5,1
Holcus mollis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:123530-2,Poaceae,graminoid,independent,0.4125,6.72e-4,NA,abiotic,Jun,NA,402.7,NA,Ellenberg,5,5,5,2,3,0
Humulus lupulus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:303502-2,Cannabaceae,forb,independent,5.5,0.0036835,anemochorous,abiotic,NA,NA,239.67,NA,Ellenberg,7,6,8,6,8,0
Hypericum hirsutum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:433492-1,Hypericaceae,NA,independent,0.575,1.299e-4,anemochorous,biotic,Jul,NA,272,NA,Ellenberg,7,6,5,8,7,0
Hypericum montanum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:433620-1,Hypericaceae,forb,independent,0.35,2.71933333333333e-4,NA,biotic,Jun,NA,246,NA,Ellenberg,5,6,4,7,3,0
Impatiens glandulifera,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30221088-2,Balsaminaceae,NA,independent,1.25,0.011906,NA,biotic,NA,NA,383,no,Ellenberg,5,7,8,7,7,0
Impatiens noli-tangere,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30208246-2,Balsaminaceae,forb,independent,0.417,0.005575,autochorous,biotic,NA,NA,453.81,NA,Ellenberg,4,5,7,7,6,0
Knautia dipsacifolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319367-1,Caprifoliaceae,forb,independent,0.4,0.00487,zoochorous,biotic,Jun,NA,220.7,NA,Ellenberg,5,4,6,6,6,0
Lamium maculatum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:448886-1,Lamiaceae,forb,independent,0.375,0.00167,autochorous,biotic,Apr,NA,316.2,NA,Ellenberg,5,NA,6,7,8,0
Lathyrus pratensis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501954-1,Fabaceae,forb,independent,0.567,0.01205385,autochorous,biotic,Jun,NA,254.16,NA,Ellenberg,7,5,6,7,6,0
Leucanthemum vulgare,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30296198-2,Asteraceae,NA,independent,0.50975,8.119666e-4,NA,biotic,May,NA,192.73,no,Ellenberg,7,NA,4,NA,3,0
Ligustrum vulgare,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:610130-1,Oleaceae,shrub,independent,3.73333333333333,0.025908389,zoochorous,biotic,Jun,white,111.5,no,Ellenberg,7,6,4,8,3,0
Lonicera xylosteum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:149194-1,Caprifoliaceae,shrub,independent,1.873,0.0576826666666667,zoochorous,biotic,May,NA,241.09,NA,Ellenberg,5,6,5,7,6,0
Lysimachia vulgaris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:701414-1,Primulaceae,forb,independent,0.898,2.36e-4,autochorous,biotic,Jun,NA,263.16,NA,Ellenberg,6,NA,8,NA,NA,0
Melica nutans,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:408086-1,Poaceae,NA,independent,0.225,0.002477,anemochorous,abiotic,May,NA,287.25,NA,Ellenberg,4,NA,4,NA,3,0
Mentha aquatica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:450192-1,Lamiaceae,NA,independent,0.383,1.16583333333333e-4,hydrochorous,biotic,Jul,NA,299.64,NA,Ellenberg,7,5,9,7,5,0
Molinia arundinacea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:408807-1,Poaceae,graminoid,independent,NA,NA,NA,NA,Jul,NA,NA,NA,Ellenberg,7,6,NA,NA,3,0
Molinia caerulea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:98382-3,Poaceae,graminoid,independent,0.788,7.42666666666667e-4,anemochorous,abiotic,Jul,NA,196.37,NA,Ellenberg,7,NA,7,NA,2,0
Myosotis scorpioides,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:119235-1,Boraginaceae,NA,independent,0.369,8.75666666666667e-4,hydrochorous,biotic,NA,NA,430.63,no,Ellenberg,7,NA,8,NA,5,0
Phalaris arundinacea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:415571-1,Poaceae,NA,independent,1.41666666666667,7.14878666666667e-4,NA,abiotic,Jun,NA,244.18,no,Ellenberg,7,5,8,7,7,0
Pleurospermum austriacum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:847217-1,Apiaceae,herb,independent,0.825,0.00421,hydrochorous,biotic,NA,NA,NA,NA,Ellenberg,5,4,6,8,4,0
Poa compressa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:204172-2,Poaceae,NA,independent,0.415,2.01866666666667e-4,unspecialized,abiotic,Jun,NA,194.2,NA,Ellenberg,9,NA,3,9,3,0
Poa palustris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:204398-2,Poaceae,NA,independent,0.772666666666667,1.87633333333333e-4,anemochorous,abiotic,Jun,NA,292.78,no,Ellenberg,7,5,9,8,7,0
Potentilla neumanniana,https://www.worldfloraonline.org/taxon/wfo-0000995744,Rosaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ellenberg,8,6,3,7,2,0
Primula elatior,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:701870-1,Primulaceae,herb,independent,0.113,6.51e-4,anemochorous,biotic,NA,NA,323.02,NA,Ellenberg,6,NA,6,7,7,0
Prunella vulgaris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:455176-1,Lamiaceae,NA,independent,0.251,8.84807142857143e-4,NA,biotic,NA,NA,295.45,no,Ellenberg,7,NA,5,7,NA,0
Pulmonaria officinalis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:120402-1,Boraginaceae,forb,independent,0.15,0.00364,zoochorous,biotic,NA,NA,296.95,NA,Ellenberg,5,6,5,8,6,0
Quercus robur,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:304293-2,Fagaceae,tree,independent,30,3.432486625,NA,abiotic,Apr,NA,148.43,no,Ellenberg,7,6,NA,NA,NA,0
Ranunculus repens,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:713678-1,Ranunculaceae,NA,independent,0.426,0.00586225,hydrochorous,biotic,May,yellow,247.25,no,Ellenberg,6,NA,7,NA,7,1
Rosa canina,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:731955-1,Rosaceae,NA,independent,1.75,0.139688968333333,zoochorous,biotic,NA,NA,122.58,no,Ellenberg,8,5,4,NA,NA,0
Rubus caesius,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:735608-1,Rosaceae,NA,independent,0.9875,0.003694625,zoochorous,biotic,NA,NA,193,NA,Ellenberg,6,5,NA,8,7,0
Rubus idaeus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298089-2,Rosaceae,subshrub,independent,1.42142857142857,0.0167451632857143,zoochorous,biotic,May,NA,246.95,NA,Ellenberg,7,NA,NA,NA,6,0
Salix alba,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:776974-1,Salicaceae,tree,independent,19.04175,1.2e-4,NA,biotic,Apr,NA,118.94,no,Ellenberg,5,6,8,8,7,0
Salvia glutinosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:456289-1,Lamiaceae,forb,independent,0.475,0.00412825,zoochorous,biotic,NA,NA,536.2,NA,Ellenberg,4,5,6,7,7,0
Scirpus sylvaticus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:314368-1,Cyperaceae,graminoid,independent,0.775,1.255835e-4,NA,abiotic,May,NA,223.85,NA,Ellenberg,6,5,8,4,4,0
Scrophularia nodosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30088899-2,Scrophulariaceae,forb,independent,0.583,9.9e-5,anemochorous,biotic,Jun,NA,260,NA,Ellenberg,4,5,6,6,7,0
Scutellaria galericulata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:458280-1,Lamiaceae,forb,independent,0.242,7.065e-4,hydrochorous,biotic,Jun,NA,395.07,NA,Ellenberg,7,6,9,7,6,0
Senecio ovatus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:246691-1,Asteraceae,herb,independent,NA,0.00117,NA,biotic,Jul,NA,NA,NA,Ellenberg,7,NA,5,NA,8,0
Solidago gigantea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249575-1,Asteraceae,forb,independent,1.9375,2.8783325e-4,anemochorous,biotic,Jul,NA,202.5,NA,Ellenberg,8,6,6,NA,7,0
Stachys sylvatica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:460020-1,Lamiaceae,forb,independent,0.646,0.0011995,NA,biotic,Jun,NA,418.02,no,Ellenberg,4,NA,7,7,7,0
Thalictrum aquilegiifolium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:714234-1,Ranunculaceae,forb,independent,0.675,0.002,anemochorous,NA,May,NA,342.7,NA,Ellenberg,5,NA,8,7,7,0
Urtica dioica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:260630-2,Urticaceae,NA,independent,0.987333333333333,9.2e-5,NA,abiotic,NA,NA,284.8,no,Ellenberg,NA,NA,6,7,9,0
Valeriana dioica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30028947-2,Caprifoliaceae,forb,independent,0.18,6.761665e-4,anemochorous,biotic,May,NA,303,NA,Ellenberg,7,NA,8,5,2,0
Valeriana excelsa subsp. excelsa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77225625-1,Caprifoliaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ellenberg,7,6,8,6,6,0
Valeriana officinalis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:860012-1,Caprifoliaceae,forb,independent,0.525,9.0625e-4,anemochorous,biotic,NA,NA,411.975,NA,Ellenberg,7,6,8,7,5,0
Viburnum lantana,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:326265-2,Viburnaceae,NA,independent,3.225,0.0407194375,zoochorous,biotic,May,NA,155.65,NA,Ellenberg,7,5,4,8,4,0
Vicia cracca,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30263827-2,Fabaceae,NA,independent,0.6715,0.57659609375,autochorous,biotic,Jun,NA,254.33,yes,Ellenberg,7,5,6,NA,NA,1
Vinca minor,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:82701-1,Apocynaceae,forb,independent,0.339,0.00613,unspecialized,biotic,Apr,NA,247,no,Ellenberg,4,6,5,7,6,0
Viola odorata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:868828-1,Violaceae,NA,independent,0.192666666666667,0.003262111,NA,biotic,NA,NA,293.5,no,Ellenberg,5,6,5,NA,8,0
Aconitum lycoctonum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:707564-1,Ranunculaceae,forb,NA,NA,0.003258,NA,biotic,NA,NA,225.9,NA,Ellenberg,3,4,7,7,8,0
Agrostis gigantea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:385783-1,Poaceae,NA,independent,0.828333333333333,8.31666666666667e-5,NA,abiotic,Jun,NA,227.84,NA,Ellenberg,7,5,8,7,6,0
Carex acutiformis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298427-1,Cyperaceae,graminoid,independent,0.75,9.155e-4,NA,abiotic,May,NA,160,NA,Ellenberg,7,NA,9,7,5,0
Carex flacca,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:299756-1,Cyperaceae,NA,independent,0.2875,9.361365e-4,unspecialized,abiotic,May,NA,152.11,NA,Ellenberg,7,NA,6,8,4,1
Crataegus monogyna,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:723820-1,Rosaceae,tree,independent,5.66166666666667,0.0901174608333333,zoochorous,biotic,NA,white,113.36,no,Ellenberg,7,5,4,8,4,0
Dipsacus pilosus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319286-1,Caprifoliaceae,NA,independent,0.55,0.0051415,zoochorous,biotic,Jul,NA,528.7,NA,Ellenberg,7,6,6,8,7,0
Hypericum tetrapterum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:433905-1,Hypericaceae,NA,independent,0.454,4.6e-5,NA,biotic,Jul,NA,361,no,Ellenberg,7,5,8,7,5,0
Lycopus europaeus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:449641-1,Lamiaceae,NA,independent,0.6085,2.82555666666667e-4,NA,biotic,NA,NA,633.5,no,Ellenberg,7,6,9,7,7,0
Mercurialis perennis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:352211-1,Euphorbiaceae,herb,independent,0.217,0.0058041665,NA,NA,Apr,NA,256.83,NA,Ellenberg,2,NA,NA,8,7,0
Neottia ovata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:645363-1,Orchidaceae,forb,independent,0.14,NA,anemochorous,biotic,May,NA,280.3,NA,Ellenberg,6,NA,6,7,7,0
Petasites hybridus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:237374-1,Asteraceae,forb,independent,0.575,2.14e-4,NA,biotic,NA,NA,220.4,NA,Ellenberg,7,5,8,7,8,0
Phragmites australis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30337627-2,Poaceae,NA,independent,3.075,4.2729175e-4,anemochorous,abiotic,NA,NA,163.03,no,Ellenberg,7,5,10,7,7,0
Picea abies,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:262609-1,Pinaceae,tree,independent,45,0.0174878858,anemochorous,abiotic,May,NA,68.46,no,Ellenberg,5,3,NA,NA,NA,0
Pimpinella major,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:846901-1,Apiaceae,forb,independent,0.658,0.0020776,NA,biotic,Jun,NA,235.83,NA,Ellenberg,7,5,5,7,6,0
Prunus padus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:730076-1,Rosaceae,tree,independent,8.55,0.09524928575,zoochorous,biotic,May,NA,216.82,NA,Ellenberg,5,5,8,7,6,0
Salix eleagnos,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:777510-1,Salicaceae,tree,independent,9.69066666666667,2.5e-4,NA,biotic,NA,NA,NA,no,Ellenberg,7,5,7,8,4,0
Symphytum officinale,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:120815-1,Boraginaceae,NA,independent,0.5835,0.0097245,zoochorous,biotic,May,NA,250.23,NA,Ellenberg,7,6,7,NA,8,0
Ulmus glabra,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302887-2,Ulmaceae,tree,independent,35,0.011879125,anemochorous,abiotic,Mar,NA,219.53,NA,Ellenberg,4,5,6,7,7,0
Carex,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330029-2,Cyperaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patzkea paniculata subsp. paniculata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77173334-1,Poaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
