id,block,location,latitude,longitude,river_km,orientation,exposition,construction_year,survey_date.2017,survey_date.2018,survey_date.2019,survey_date.2021,botanist.2017,botanist.2018,botanist.2019,botanist.2021,opensoil_cover.2017,opensoil_cover.2018,opensoil_cover.2019,opensoil_cover.2021,moss_cover.2017,moss_cover.2018,moss_cover.2019,moss_cover.2021,litter_cover.2017,litter_cover.2018,litter_cover.2019,litter_cover.2021,vegetation_cover.2017,vegetation_cover.2018,vegetation_cover.2019,vegetation_cover.2021,vegetation_height.2017,vegetation_height.2018,vegetation_height.2019,vegetation_height.2021,calciumcarbonat,c_organic,n_total_ratio,cn_ratio,ph,sand,silt,clay,phosphorus,potassium,magnesium,topsoil_depth,sceleton_ratio_volume
11_m,6,Oebling,5417431,4546311,2315,water,north,2010,NA,2018-06-14,2019-06-13,2021-06-30,Jakob_Huber_Leonardo_Teixeira,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,20,25,10,2,40,35,60,60,30,35,30,20,65,80,80,70,NA,80,110,50,1.9,1.887,0.186,10.1,7.18,54.3,32.3,13.4,6,8,14,15,11
12_m,6,Oebling,5417420,4546311,2315,land,south,2010,NA,2018-06-14,2019-06-13,2021-06-30,Jakob_Huber_Leonardo_Teixeira,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,70,65,80,20,1,0,5,30,25,35,15,10,25,25,50,50,60,30,50,20,2.1,2.37,0.245,9.7,7.26,47.4,29.9,22.7,20,13,21,15,18
13_m,7,Oebling,5418241,4547375,2314,water,north,2006,NA,2018-06-15,2019-06-14,2021-07-01,Jakob_Huber_Leonardo_Teixeira,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,5,10,5,10,35,40,40,50,50,50,45,20,75,NA,70,60,40,10,55,30,0.2,1.034,0.109,9.5,6.16,42.4,36.4,21.2,23,18,17,26,3
14_m,7,Oebling,5418234,4547375,2314,land,south,2006,NA,2018-06-15,2019-06-14,2021-07-01,Jakob_Huber_Leonardo_Teixeira,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,30,35,50,10,30,40,25,40,30,20,25,20,40,30,60,50,50,20,60,20,1,1.309,0.132,9.9,7.18,42.3,36.1,21.6,32,17,18,15,4
15_m,8,Oebling,5416962,4547130,2314,water,west,2006,NA,2018-06-15,NA,NA,Jakob_Huber_Leonardo_Teixeira,Jakob_Huber,NA,NA,5,10,NA,NA,15,10,NA,NA,70,75,NA,NA,40,25,NA,NA,60,10,NA,NA,3.6,2.356,0.233,10.1,7.22,49.4,32,18.6,33,35,17,10,13
16_m,8,Oebling,5416962,4547137,2314,land,east,2006,NA,2018-06-15,NA,NA,Jakob_Huber_Leonardo_Teixeira,Jakob_Huber,NA,NA,20,30,NA,NA,15,30,NA,NA,55,35,NA,NA,35,30,NA,NA,50,10,NA,NA,10.9,2.486,0.258,9.6,7.32,41.2,35.9,22.9,5,12,17,14,17
17_o,9,Hermannsdorf-Ainbrach,5417213,4551938,2308,water,north,2016,NA,2018-06-16,2019-06-14,NA,Jakob_Huber,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,50,20,50,NA,2,2,30,NA,40,75,20,NA,50,60,85,NA,35,60,70,NA,22.9,1.634,0.19,8.6,7.45,31.2,46.8,22,9,8,15,20,9
18_m,9,Hermannsdorf-Ainbrach,5417206,4551933,2308,land,south,2016,NA,2018-06-16,2019-06-14,NA,Jakob_Huber,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,40,70,50,NA,0,1,20,NA,50,25,30,NA,30,60,50,NA,15,30,50,NA,21.4,2.121,0.234,9.1,7.41,36.7,43.3,20,2,7,15,15,17
19_o,10,Hermannsdorf-Ainbrach,5416931,4552292,2308,water,north,2016,NA,2018-06-16,2019-06-14,NA,Jakob_Huber,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,10,60,70,NA,0,0,15,NA,80,35,15,NA,60,70,70,NA,10,70,60,NA,16.8,1.204,0.134,9,7.41,31.5,45.8,22.7,19,14,14,15,4
20_m,10,Hermannsdorf-Ainbrach,5416920,4552285,2308,land,south,2016,NA,2018-06-15,2019-06-14,NA,Jakob_Huber,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,60,60,35,NA,0,10,30,NA,30,30,35,NA,40,50,60,NA,35,30,60,NA,24.5,2.08,0.228,9.1,7.38,37.8,42.5,19.7,3,7,16,20,15
21_m,11,Pfelling,5415944,4555538,2305,water,south,2008,NA,2018-06-15,2019-06-14,2021-07-01,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,10,10,70,10,0,0,5,10,80,85,25,40,90,80,60,60,35,30,50,40,4.2,2.446,0.251,9.7,7.31,27.2,46.4,26.4,1,6,34,23,0
22_m,11,Pfelling,5415946,4555531,2305,land,north,2008,NA,2018-06-15,2019-06-14,2021-07-01,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,10,5,20,4,60,70,60,70,20,20,20,40,30,30,50,30,40,30,60,10,6.5,1.786,0.19,9.4,7.35,41.9,38.9,19.2,2,8,21,8,12
23_m,12,Pfelling,5416175,4555683,2305,water,south,2008,NA,2018-06-15,2019-06-14,2021-07-01,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,45,70,30,30,0,10,10,4,45,20,60,30,50,50,70,60,45,45,65,40,7.4,1.969,0.199,9.9,7.26,55.8,28.9,15.3,3,7,16,12,21
24_m,12,Pfelling,5416180,4555677,2305,land,north,2008,NA,2018-06-15,2019-06-14,2021-07-01,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,5,15,20,4,50,15,45,40,30,65,35,30,50,60,70,60,40,30,60,30,12.5,2.155,0.219,9.8,7.27,51.4,32.5,16.1,2,8,16,9,20
25_m,13,Irlbach,5412276,4554430,2301,water,west,2011,NA,2018-06-16,2019-06-15,NA,Jakob_Huber_Simon_Reith,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,20,5,20,NA,20,40,40,NA,50,50,40,NA,60,60,65,NA,40,40,40,NA,5.2,1.73,0.164,10.5,7.33,53.8,31.6,14.6,2,9,13,8,38
26_m,13,Irlbach,5412516,4554441,2301,land,east,2011,NA,2018-06-16,2019-06-15,NA,Jakob_Huber_Simon_Reith,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,40,75,50,NA,5,5,10,NA,40,15,40,NA,50,70,60,NA,30,30,35,NA,6.4,2.686,0.268,10,7.31,42.2,37.7,20.1,7,7,12,20,17
27_m,14,Irlbach,5412036,4554294,2301,water,north,2011,NA,2018-06-16,2019-06-14,2021-07-03,Jakob_Huber_Simon_Reith,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,45,30,35,10,5,10,25,2,40,55,40,30,50,70,60,80,30,80,90,40,9.1,3.238,0.305,10.6,7.3,16.3,58.4,25.3,13,8,15,15,5
28_m,14,Irlbach,5412027,4554292,2301,land,south,2011,NA,2018-06-16,2019-06-14,2021-07-03,Jakob_Huber_Simon_Reith,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,70,20,60,10,0,5,5,0,20,70,35,50,40,60,60,50,30,30,60,40,10.3,2.916,0.286,10.2,7.35,15,60.2,24.8,15,7,16,20,14
29_m,15,Mariaposching,5410119,4559495,2297,water,south,2010,NA,2018-06-16,2019-06-15,NA,Jakob_Huber,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,50,5,20,NA,15,20,40,NA,25,70,40,NA,70,75,65,NA,45,50,45,NA,5.6,1.439,0.148,9.7,7.28,29.3,44.5,26.2,29,14,17,20,8
30_m,15,Mariaposching,5410132,4559494,2297,land,north,2010,NA,2018-06-16,2019-06-15,NA,Jakob_Huber,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,40,45,50,NA,20,20,10,NA,30,30,40,NA,60,60,55,NA,30,30,40,NA,13.9,1.26,0.133,9.5,7.38,51.6,31.5,16.9,2,6,15,15,33
31_m,16,Irlbach,5412620,4555638,2301,land,west,2010,NA,2018-06-16,2019-06-15,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,5,5,30,NA,5,45,35,NA,85,45,35,NA,70,70,80,NA,10,NA,30,NA,28.4,1.688,0.188,9,7.36,31.6,52,16.4,3,4,13,16,18
32_m,16,Irlbach,5412622,4555647,2301,land,east,2010,NA,2018-06-16,2019-06-15,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,40,35,30,NA,25,30,30,NA,25,30,40,NA,40,60,60,NA,30,30,40,NA,0.3,1.03,0.096,10.7,6.94,32.2,47.3,20.5,5,6,17,18,6
33_m,17,Irlbach,5412669,4555707,2301,land,north,2003,NA,NA,NA,2021-07-03,Jakob_Huber_Simon_Reith_Jakob_Strak,NA,NA,Markus Bauer,70,NA,NA,2,0,NA,NA,40,20,NA,NA,40,40,NA,NA,70,10,NA,NA,10,30,2.135,0.226,9.4,7.42,22.9,51.3,25.8,3,6,20,20,12
34_o,17,Irlbach,5412659,4555704,2301,land,south,2003,NA,2018-06-06,2019-06-14,2021-07-03,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber_Linda_Weggler_Laura_Baeumler,Jakob_Huber_Linda_Weggler,Markus Bauer,10,3,15,30,10,75,30,4,70,20,35,20,70,60,80,40,30,80,70,10,21,2.236,0.234,9.6,7.33,47.1,36.3,16.6,4,7,15,32,33
35_m,18,Schwarzach-Sulzbach,5412604,4561890,2293,water,east,2016,NA,2018-06-07,2019-06-12,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,50,NA,10,NA,0,NA,5,NA,5,NA,85,NA,90,NA,80,NA,35,NA,50,NA,18,0.848,0.092,9.2,7.52,48.2,31.5,20.3,30,14,17,30,0
36_m,18,Schwarzach-Sulzbach,5412599,4561878,2293,land,west,2016,NA,2018-06-07,2019-06-12,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,70,30,45,NA,0,5,10,NA,10,65,45,NA,65,60,60,NA,80,50,60,NA,9.9,2.511,0.262,9.6,7.36,31.5,40.5,28,1,15,22,22,8
37_m,19,Schwarzach-Sulzbach,5412141,4562153,2293,land,south,2016,NA,NA,2019-06-12,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,NA,Jakob_Huber_Linda_Weggler,NA,70,NA,40,NA,0,NA,30,NA,10,NA,30,NA,50,NA,55,NA,35,NA,65,NA,6,1.633,0.188,8.7,7.45,29.3,37.4,33.3,32,9,26,30,0
38_m,19,Schwarzach-Sulzbach,5412151,4562148,2293,water,north,2016,NA,NA,2019-06-12,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,NA,Jakob_Huber_Linda_Weggler,NA,15,NA,80,NA,0,NA,5,NA,60,NA,15,NA,80,NA,40,NA,45,NA,70,NA,18,1.631,0.179,9.1,7.47,46.2,33.1,20.7,9,9,17,20,14
39_m,20,Natternberg,5411096,4567747,2287,water,north,2013,NA,2018-06-08,2019-06-15,2021-07-03,Jakob_Huber_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,0,5,10,0,20,3,5,50,40,95,85,50,100,100,95,100,45,65,50,50,28.9,3.063,0.375,8.2,7.42,10.4,54.4,35.2,9,8,24,30,0
40_m,20,Natternberg,5411081,4567737,2287,land,south,2013,NA,2018-06-08,2019-06-15,2021-07-03,Jakob_Huber_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,60,70,60,0.5,2,5,5,70,20,20,35,30,70,50,60,80,50,NA,60,50,28.9,1.478,0.184,8,7.47,50.1,34.8,15.1,1,5,14,25,31
41_m,21,Natternberg,5410515,4568793,2286,water,north,2013,NA,2018-06-08,2019-06-15,2021-07-03,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,5,5,10,0,0,3,10,20,10,95,80,40,100,100,95,100,40,65,60,50,29.2,1.83,0.213,8.6,7.37,23.2,49.2,27.6,9,6,22,30,8
42_m,21,Natternberg,5410497,4568788,2286,land,south,2013,NA,2018-06-08,2019-06-15,2021-07-03,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,5,50,70,10,0,1,0,4,75,45,30,40,85,60,70,70,60,NA,60,30,26.5,2.335,0.289,8.1,7.35,16.8,49.5,33.7,4,5,23,25,4
43_m,22,Deggendorf_West,5411573,4568255,2287,water,south,2007,NA,2018-06-07,2019-06-12,2021-07-01,Jakob_Huber_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,30,20,45,20,0,10,15,10,60,70,40,20,50,60,70,70,40,60,60,20,31.8,2.238,0.249,9,7.37,19.1,53.2,27.7,3,5,23,20,0
44_m,22,Deggendorf_West,5411582,4568262,2287,land,north,2007,NA,2018-06-07,2019-06-12,2021-07-01,Jakob_Huber_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,0,0,5,0,35,65,40,90,60,35,55,30,30,70,80,60,35,NA,50,20,36.2,1.614,0.178,9.1,7.34,41.1,43.2,15.7,1,6,12,10,13
45_m,23,Deggendorf_West,5411360,4568677,2286,water,south,2007,NA,2018-06-07,2019-06-12,2021-07-01,Jakob_Huber_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,20,10,45,10,0,5,5,4,70,80,50,30,60,60,70,70,40,50,50,30,36.1,2.093,0.224,9.3,7.37,27,51.6,21.4,5,9,19,18,0
46_m,23,Deggendorf_West,5411372,4568682,2286,land,north,2007,NA,2018-06-07,2019-06-12,2021-07-01,Jakob_Huber_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,0,0,0,2,40,40,50,90,50,60,50,20,50,50,75,70,35,40,70,20,34.7,1.696,0.191,8.9,7.38,43.2,41.9,14.9,3,7,14,25,12
47_m,24,Fischerdorf,5407024,4569502,2282,water,east,2016,NA,2018-06-18,NA,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,NA,NA,NA,50,NA,NA,NA,5,NA,NA,NA,40,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,43.2,1.23,0.156,7.9,7.45,22.4,59.8,17.8,19,12,12,21,0
48_m,24,Fischerdorf,5407028,4569491,2282,water,west,2016,NA,2018-06-18,NA,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,NA,NA,70,25,NA,NA,1,60,NA,NA,20,10,NA,NA,50,60,NA,NA,70,80,NA,NA,58.8,2.759,0.388,7.1,7.34,11.6,66.2,22.2,2,7,18,17,0
49_m,25,Fischerdorf,5408483,4570425,2282,water,east,2016,NA,2018-06-18,NA,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,NA,NA,10,75,NA,NA,5,5,NA,NA,65,15,NA,NA,100,65,NA,NA,65,60,NA,NA,43.4,2.371,0.324,7.3,7.38,11.1,61.4,27.5,2,7,20,19,0
50_m,25,Fischerdorf,5408488,4570411,2282,land,west,2016,NA,2018-06-18,NA,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,NA,NA,10,50,NA,NA,40,20,NA,NA,40,25,NA,NA,90,75,NA,NA,60,50,NA,NA,53,5.531,0.748,7.4,7.24,11,63.7,25.3,6,12,22,15,0
51_m,26,Stoegermuehlbach,5404855,4571060,2278,water,south,2002,NA,2018-06-18,2019-06-15,2021-07-02,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,20,50,50,40,5,20,30,10,70,25,20,10,40,40,60,50,60,NA,60,20,49.4,2.413,0.287,8.4,7.29,29,53.9,17.1,6,9,16,20,16
52_m,26,Stoegermuehlbach,5404864,4571061,2278,land,north,2002,NA,2018-06-18,2019-06-15,2021-07-02,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,5,5,20,30,80,85,70,30,10,5,10,20,30,NA,50,40,30,NA,50,10,48.9,2.654,0.311,8.5,7.27,32.3,51,16.7,10,10,18,10,15
53_m,27,Stoegermuehlbach,5404794,4570793,2278,water,south,2002,NA,2018-06-18,2019-06-15,2021-07-02,Jakob_Huber,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,25,50,60,40,3,0,5,0,70,45,35,20,NA,60,50,50,90,60,70,20,43.4,3.146,0.367,8.6,7.45,14.9,58.3,26.8,1,6,23,22,0
54_m,27,Stoegermuehlbach,5404803,4570789,2278,land,north,2002,NA,2018-06-18,2019-06-15,2021-07-02,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,15,NA,10,30,20,NA,50,30,55,NA,40,20,40,NA,50,50,50,NA,60,20,43,3.18,0.37,8.6,7.41,18.8,56.5,24.7,1,8,24,10,0
55_m,28,Hofkirchen,5393648,4582311,2256,water,south,2012,NA,2018-06-17,2019-06-16,2021-07-02,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,80,15,50,4,0,0,10,20,15,80,40,50,40,80,80,80,75,80,100,40,11.6,1.984,0.203,9.8,7.29,43.9,34.9,21.2,54,20,24,21,0
56_m,28,Hofkirchen,5393656,4582309,2256,land,north,2012,NA,2018-06-17,2019-06-16,2021-07-02,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,10,5,30,0,40,25,30,50,40,65,40,30,70,80,90,100,70,70,80,50,15.7,1.706,0.179,9.5,7.3,43,36.5,20.5,39,10,21,15,0
57_o,29,Saubach,5410170,4569880,2285,water,north,2006,NA,2018-06-17,2019-06-12,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,5,10,40,NA,20,65,20,NA,60,20,40,NA,60,60,70,NA,15,NA,50,NA,37.4,2.071,0.233,8.9,7.35,33.5,48,18.5,4,15,15,25,24
58_m,29,Saubach,5410157,4569876,2285,land,south,2006,NA,2018-06-17,2019-06-12,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,5,25,35,NA,30,40,5,NA,50,30,65,NA,80,60,70,NA,50,NA,50,NA,36.8,2.793,0.323,8.6,7.32,25.6,51,23.4,4,14,18,30,39
59_m,30,Hofkirchen,5394403,4582207,2257,water,west,2012,NA,2018-06-17,2019-06-16,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,10,15,15,NA,5,5,5,NA,70,75,80,NA,90,90,100,NA,100,90,90,NA,33.4,2.042,0.243,8.4,7.37,34,47.2,18.8,5,14,14,28,0
60_m,30,Hofkirchen,5394404,4582214,2257,land,east,2012,NA,2018-06-17,2019-06-16,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,30,20,40,NA,5,20,30,NA,60,55,30,NA,30,60,70,NA,20,30,50,NA,27.7,2.342,0.257,9.1,7.37,39,42.5,18.5,13,13,14,10,13
61_o,31,Muehlham-Ruckasing,5398153,4575179,2269,water,north,2007,NA,2018-06-17,2019-06-16,2021-07-02,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,40,20,20,0.5,10,15,60,70,40,60,20,20,70,60,70,90,10,60,40,10,23.1,1.499,0.177,8.5,7.37,28,54.2,17.8,3,7,12,16,20
62_m,31,Muehlham-Ruckasing,5398141,4575175,2269,land,south,2007,NA,2018-06-17,2019-06-16,2021-07-02,Jakob_Huber,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,5.5,85,90,60,0,0,0,20,5,10,10,4,55,50,65,40,35,50,50,20,30.4,1.555,0.157,9.9,7.41,45.5,43.8,10.7,1,13,10,12,45
63_m,32,Parkstetten-Reibersdorf,5418240,4543373,2319,water,south,2008,NA,2018-06-12,2019-06-13,2021-06-30,Jakob_Huber_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,15,60,80,4,3,3,5,5,50,35,15,30,80,65,80,80,40,70,65,50,36.6,1.8,0.218,8.3,7.42,45.4,38.6,16,4,7,12,20,9
64_m,32,Parkstetten-Reibersdorf,5418247,4543362,2319,land,north,2008,NA,2018-06-12,2019-06-13,2021-06-30,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,10,5,10,2,80,90,85,50,5,5,5,20,20,50,70,50,35,30,60,40,8.5,0.463,0.043,10.8,7.48,90.8,6.3,2.9,1,4,5,15,49
65_m,33,Stoegermuehlbach,5405220,4572285,2278,land,south,2002,NA,2018-06-17,2019-06-16,2021-07-02,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,0,5,40,4,5,10,5,2,85,80,55,50,100,90,90,90,100,100,140,40,31.1,2.146,0.24,8.9,7.31,49.4,36.5,14.1,3,16,14,25,28
66_m,33,Stoegermuehlbach,5405229,4572279,2278,water,north,2002,NA,2018-06-17,2019-06-16,2021-07-02,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,5,70,70,0.5,0,5,5,2,85,20,25,40,100,50,80,100,90,80,100,40,26.3,2.228,0.244,9.1,7.35,55.7,31.8,12.5,4,14,14,30,34
67_o,34,Pfelling,5415826,4555183,2305,water,south,2008,NA,2018-06-12,2019-06-14,2021-06-28,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,50,50,65,50,5,5,15,20,30,40,20,20,60,65,80,70,50,60,70,50,19.9,2.626,0.306,8.6,7.3,37.3,42,20.7,5,7,18,24,3
68_m,34,Pfelling,5415833,4555191,2305,land,north,2008,NA,2018-06-12,2019-06-14,2021-06-28,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,10,40,20,10,60,50,70,50,20,5,10,30,30,50,60,40,30,40,50,30,14.2,1.903,0.201,9.5,7.34,51.5,32.7,15.8,3,6,15,13,14
69_m,35,Irlbach,5412682,4554993,2301,water,north,2011,NA,2018-06-16,2019-06-15,2021-07-03,Jakob_Huber,NA,Jakob_Huber_Linda_Weggler,Markus Bauer,20,30,50,10,40,35,10,30,30,30,40,20,60,NA,60,80,30,NA,50,30,7.9,1.677,0.167,10,7.32,57.2,28.4,14.4,1,6,11,15,23
