no,plotTemp,plot,block,year,site,easting,northing,date,barrier,barrierriverKm,plotriverKm,treatment,plotSize,habitatType,shrubHeight,shrubCover,herbHeight,herbCover,mossCover,soilCover,substrate,slope,ph
47,14atu2,atu2,atu,2014,Attler_Au,4513832,5320731,2014-06-23,Wasserburg,158.9,164.9,Embankment removal,1,pioneer_veg,0,0,8,20,0,90,Sand,very_steep,6
48,14atu3,atu3,atu,2014,Attler_Au,4513793,5320706,2014-06-23,Wasserburg,158.9,165,Embankment removal,1,pioneer_veg,0,0,30,50,0,50,Gravel,very_steep,6
49,14atu4,atu4,atu,2014,Attler_Au,4513904,5320759,2014-06-23,Wasserburg,158.9,164.8,Embankment removal,1,pioneer_veg,0,0,5,50,0,50,Sand,steep,6
50,14atu5,atu5,atu,2014,Attler_Au,4513921,5320769,2014-06-23,Wasserburg,158.9,164.8,Embankment removal,1,pioneer_veg,0,0,15,50,30,20,Sand,very_steep,6
51,14heu1,heu1,heu,2014,Hechtloch,4519979,5333291,2014-07-03,Gars,137.5,143,Embankment removal,1,pioneer_veg,0,0,20,40,0,80,Sand,very_steep,5.5
52,14heu2,heu2,heu,2014,Hechtloch,4519986,5333320,2014-07-03,Gars,137.5,143,Embankment removal,1,pioneer_veg,0,0,70,70,0,40,Sand,very_steep,5.5
53,14heu3,heu3,heu,2014,Hechtloch,4519988,5333290,2014-07-03,Gars,137.5,143,Embankment removal,1,pioneer_veg,0,0,20,1,0,100,Sand,steep,5.5
54,14heu4,heu4,heu,2014,Hechtloch,4519992,5333288,2014-07-03,Gars,137.5,143,Embankment removal,1,pioneer_veg,0,0,15,2.5,0,100,Sand,steep,5.5
55,14heu5,heu5,heu,2014,Hechtloch,4519994,5333286,2014-07-03,Gars,137.5,143,Embankment removal,1,pioneer_veg,0,0,20,1,0,100,Sand,steep,5.5
56,14rou1,rou1,rou,2014,Rottmündung,4511352,5316239,2014-06-30,Wasserburg,158.9,170.3,Embankment removal,1,pioneer_veg,0,0,15,30,1,80,Sand,plain,5.5
57,14rou2,rou2,rou,2014,Rottmündung,4511343,5316291,2014-06-30,Wasserburg,158.9,170.3,Embankment removal,1,pioneer_veg,0,0,10,2.5,10,100,Sand,moderatly_steep,5
58,14rou3,rou3,rou,2014,Rottmündung,4511362,5316361,2014-06-30,Wasserburg,158.9,170.2,Embankment removal,1,pioneer_veg,0,0,7,10,20,80,Sand,steep,5.5
59,14rou4,rou4,rou,2014,Rottmündung,4511426,5316534,2014-06-30,Wasserburg,158.9,170,Embankment removal,1,pioneer_veg,0,0,10,10,0,100,Sand,moderatly_steep,5
60,14rou5,rou5,rou,2014,Rottmündung,4511474,5316629,2014-06-30,Wasserburg,158.9,169.9,Embankment removal,1,pioneer_veg,0,0,12,60,30,50,Sand,plain,7
61,14atk1,atk1,atk,2014,Attler_Au,4514023,5320827,2014-06-23,Wasserburg,158.9,164.7,Gravel supply,1,pioneer_veg,0,0,25,20,0,90,Sand,plain,7
62,14atk2,atk2,atk,2014,Attler_Au,4514053,5320836,2014-06-23,Wasserburg,158.9,164.7,Gravel supply,1,pioneer_veg,0,0,7,10,5,90,Gravel,plain,5
63,14atk3,atk3,atk,2014,Attler_Au,4514107,5320858,2014-06-24,Wasserburg,158.9,164.6,Gravel supply,1,pioneer_veg,0,0,5,10,0.1,90,Sand,plain,6
64,14atk4,atk4,atk,2014,Attler_Au,4514124,5320870,2014-06-24,Wasserburg,158.9,164.6,Gravel supply,1,pioneer_veg,0,0,7,20,1,80,Gravel,plain,6
65,14atk5,atk5,atk,2014,Attler_Au,4514158,5320881,2014-06-24,Wasserburg,158.9,164.6,Gravel supply,1,pioneer_veg,0,0,5,5,2.5,90,Gravel,plain,6
66,14lak1,lak1,lak,2014,Laimbachmündung,4514485,5320892,2014-07-02,Wasserburg,158.9,164.4,Gravel supply,1,pioneer_veg,0,0,5,15,1,95,Gravel,moderatly_steep,5
67,14lak1,lak1,lak,2014,Laimbachmündung,4514478,5320893,2014-07-02,Wasserburg,158.9,164.4,Gravel supply,1,pioneer_veg,0,0,7,20,2.5,90,Gravel,plain,5.5
68,14lak1,lak1,lak,2014,Laimbachmündung,4514432,5320847,2014-07-02,Wasserburg,158.9,164.4,Gravel supply,1,pioneer_veg,0,0,10,20,10,90,Gravel,plain,6
69,14lak3,lak3,lak,2014,Laimbachmündung,4514464,5320868,2014-07-02,Wasserburg,158.9,164.4,Gravel supply,1,pioneer_veg,0,0,10,10,5,90,Gravel,plain,5.5
70,14lak5,lak5,lak,2014,Laimbachmündung,4514438,5320836,2014-07-02,Wasserburg,158.9,164.4,Gravel supply,1,pioneer_veg,0,0,7,20,5,90,Gravel,plain,5.5
71,14rok1,rok1,rok,2014,Rottmündung,4511440,5316597,2014-06-30,Wasserburg,158.9,170,Gravel supply,1,pioneer_veg,0,0,10,5,5,100,Gravel,na,5
72,14rok2,rok2,rok,2014,Rottmündung,4511407,5316529,2014-06-30,Wasserburg,158.9,170.1,Gravel supply,1,pioneer_veg,0,0,20,50,5,70,Gravel,na,5
73,14rok3,rok3,rok,2014,Rottmündung,4511346,5316249,2014-07-01,Wasserburg,158.9,170.3,Gravel supply,1,pioneer_veg,0,0,8,5,5,100,Gravel,na,6
74,14rok4,rok4,rok,2014,Rottmündung,4511347,5316316,2014-07-01,Wasserburg,158.9,170.3,Gravel supply,1,pioneer_veg,0,0,10,10,1,95,Gravel,na,5.5
75,14rok5,rok5,rok,2014,Rottmündung,4511353,5316326,2014-07-01,Wasserburg,158.9,170.2,Gravel supply,1,pioneer_veg,0,0,15,20,1,90,Gravel,na,5.5
76,14frs1,frs1,frs,2014,Freihamer_Au,4515055,5322627,2014-08-18,Wasserburg,158.9,162.3,Sand supply,1,pioneer_veg,0,0,40,100,70,2.5,Sand,very_steep,5.5
77,14frs2,frs2,frs,2014,Freihamer_Au,4515054,5322615,2014-08-18,Wasserburg,158.9,162.3,Sand supply,1,pioneer_veg,0,0,30,50,70,20,Sand,very_steep,5.5
78,14frs3,frs3,frs,2014,Freihamer_Au,4515039,5322618,2014-08-18,Wasserburg,158.9,162.3,Sand supply,1,pioneer_veg,0,0,20,40,70,20,Sand,steep,6
79,14frs4,frs4,frs,2014,Freihamer_Au,4514974,5322567,2014-08-18,Wasserburg,158.9,162.4,Sand supply,1,pioneer_veg,0,0,30,20,70,20,Sand,steep,5
80,14frs5,frs5,frs,2014,Freihamer_Au,4514980,5322574,2014-08-18,Wasserburg,158.9,162.4,Sand supply,1,pioneer_veg,0,0,30,30,90,10,Sand,very_steep,5.5
81,14vos1,vos1,vos,2014,Vorderleiten,4517827,5328888,2014-06-16,Teufelsbruck,147.2,151.5,Sand supply,1,pioneer_veg,0,0,40,40,5,50,Sand,plain,6
82,14vos2,vos2,vos,2014,Vorderleiten,4517830,5328906,2014-06-16,Teufelsbruck,147.2,151.5,Sand supply,1,pioneer_veg,0,0,20,30,2.5,60,Sand,moderatly_steep,7
83,14vos3,vos3,vos,2014,Vorderleiten,4517833,5328944,2014-06-17,Teufelsbruck,147.2,151.5,Sand supply,1,pioneer_veg,0,0,5,5,0,98,Sand,steep,6
84,14vos4,vos4,vos,2014,Vorderleiten,4517834,5328910,2014-06-17,Teufelsbruck,147.2,151.6,Sand supply,1,pioneer_veg,0,0,20,25,1,80,Sand,steep,6
85,14vos5,vos5,vos,2014,Vorderleiten,4517828,5328862,2014-06-17,Teufelsbruck,147.2,151.6,Sand supply,1,pioneer_veg,0,0,20,30,0,70,Sand,plain,7
86,14wis1,wis1,wis,2014,Wies,4518100,5329877,2014-07-07,Teufelsbruck,147.2,150.5,Sand supply,1,pioneer_veg,0,0,70,50,50,20,Sand,na,6
87,14wis2,wis2,wis,2014,Wies,4518091,5329868,2014-07-07,Teufelsbruck,147.2,150.5,Sand supply,1,pioneer_veg,0,0,25,90,50,5,Sand,na,6
88,14wis3,wis3,wis,2014,Wies,4518145,5329924,2014-07-07,Teufelsbruck,147.2,150.4,Sand supply,1,pioneer_veg,0,0,50,50,40,30,Sand,na,5.5
89,14wis4,wis4,wis,2014,Wies,4518215,5329984,2014-07-07,Teufelsbruck,147.2,150.3,Sand supply,1,pioneer_veg,0,0,30,50,30,40,Sand,na,5.5
90,14wis5,wis5,wis,2014,Wies,4518278,5330033,2014-07-07,Teufelsbruck,147.2,150.2,Sand supply,1,pioneer_veg,0,0,40,50,40,60,Sand,na,6
91,16atu1,atu1,atu,2016,Attler_Au,4513768,5320704,2016-08-26,Wasserburg,158.9,165,Embankment removal,1,Meadow,0,0,85,100,0,0,Sand,plain,6
92,16atu2,atu2,atu,2016,Attler_Au,4513832,5320731,2016-08-26,Wasserburg,158.9,164.9,Embankment removal,1,Reed,0,0,120,100,0,30,Sand,moderatly_plain,6
93,16atu3,atu3,atu,2016,Attler_Au,4513793,5320706,2016-08-26,Wasserburg,158.9,165,Embankment removal,1,Reed,0,0,120,90,0,10,Sand,plain,6
94,16atu4,atu4,atu,2016,Attler_Au,4513904,5320759,2016-08-26,Wasserburg,158.9,164.8,Embankment removal,1,Sedge_reed,0,0,35,100,0,1,Sand,plain,6
95,16atu5,atu5,atu,2016,Attler_Au,4513921,5320769,2016-08-26,Wasserburg,158.9,164.8,Embankment removal,1,Reed,0,0,60,70,0,10,Sand,plain,6
96,16heu1,heu1,heu,2016,Hechtloch,4519979,5333291,2016-07-25,Gars,137.5,143,Embankment removal,1,Water,0,0,0,0,0,0,Water,na,5.5
97,16heu2,heu2,heu,2016,Hechtloch,4519986,5333320,2016-07-25,Gars,137.5,143,Embankment removal,1,Water,0,0,0,0,0,0,Water,na,5.5
98,16heu3,heu3,heu,2016,Hechtloch,4519988,5333290,2016-07-25,Gars,137.5,143,Embankment removal,1,Water,0,0,0,0,0,0,Water,na,5.5
99,16heu4,heu4,heu,2016,Hechtloch,4519992,5333288,2016-07-25,Gars,137.5,143,Embankment removal,1,Water,0,0,0,0,0,0,Water,na,5.5
100,16heu5,heu5,heu,2016,Hechtloch,4519994,5333286,2016-07-25,Gars,137.5,143,Embankment removal,1,Water,0,0,0,0,0,0,Water,na,5.5
101,16rou1,rou1,rou,2016,Rottmündung,4511352,5316239,2016-08-03,Wasserburg,158.9,170.3,Embankment removal,1,pioneer_veg,0,0,0,0,0,40,Sand,moderatly_plain,5.5
102,16rou2,rou2,rou,2016,Rottmündung,4511343,5316291,2016-08-03,Wasserburg,158.9,170.3,Embankment removal,1,pioneer_veg,0,0,35,30,60,40,Sand,steep,5
103,16rou3,rou3,rou,2016,Rottmündung,4511362,5316361,2016-08-03,Wasserburg,158.9,170.2,Embankment removal,1,pioneer_veg,0,0,25,20,0,90,Sand,steep,5.5
104,16rou4,rou4,rou,2016,Rottmündung,4511426,5316534,2016-08-03,Wasserburg,158.9,170,Embankment removal,1,pioneer_veg,0,0,100,40,2.5,30,Sand,moderatly_plain,5
105,16rou5,rou5,rou,2016,Rottmündung,4511474,5316629,2016-08-03,Wasserburg,158.9,169.9,Embankment removal,1,pioneer_veg,0,0,0,0,0,90,Sand,medium,7
106,16atk1,atk1,atk,2016,Attler_Au,4514023,5320827,2016-08-26,Wasserburg,158.9,164.7,Gravel supply,1,Meadow,0,0,80,90,0,0,Sand,plain,7
107,16atk2,atk2,atk,2016,Attler_Au,4514053,5320836,2016-08-26,Wasserburg,158.9,164.7,Gravel supply,1,Meadow,0,0,90,90,0,2.5,Sand,plain,5
108,16atk3,atk3,atk,2016,Attler_Au,4514107,5320858,2016-08-26,Wasserburg,158.9,164.6,Gravel supply,1,Sedge_reed,140,5,150,90,1,10,Sand,plain,6
109,16atk4,atk4,atk,2016,Attler_Au,4514124,5320870,2016-08-26,Wasserburg,158.9,164.6,Gravel supply,1,Meadow,0,0,30,60,40,2.5,Sand,plain,6
110,16atk5,atk5,atk,2016,Attler_Au,4514158,5320881,2016-08-26,Wasserburg,158.9,164.6,Gravel supply,1,Sedge_reed,0,0,60,80,20,0,Sand,plain,6
111,16lak1,lak1,lak,2016,Laimbachmündung,4514485,5320892,2016-07-26,Wasserburg,158.9,164.4,Gravel supply,1,Sedge_reed,110,60,60,40,0,0,Sand,plain,5
112,16lak2,lak2,lak,2016,Laimbachmündung,4514478,5320893,2016-07-26,Wasserburg,158.9,164.4,Gravel supply,1,Sedge_reed,105,5,80,100,0,0,Sand,plain,5.5
113,16lak3,lak3,lak,2016,Laimbachmündung,4514464,5320868,2016-07-26,Wasserburg,158.9,164.4,Gravel supply,1,Sedge_reed,0,0,40,80,0,50,Sand,plain,6
114,16lak4,lak4,lak,2016,Laimbachmündung,4514432,5320847,2016-07-25,Wasserburg,158.9,164.4,Gravel supply,1,Water,0,0,0,0,0,0,Water,plain,5.5
115,16lak5,lak5,lak,2016,Laimbachmündung,4514438,5320836,2016-07-25,Wasserburg,158.9,164.4,Gravel supply,1,Reed,0,0,80,70,0,0,Sand,plain,5.5
116,16rok1,rok1,rok,2016,Rottmündung,4511440,5316597,2016-08-03,Wasserburg,158.9,170,Gravel supply,1,pioneer_veg,0,0,60,50,0,0,Sand,moderatly_plain,5
117,16rok2,rok2,rok,2016,Rottmündung,4511407,5316529,2016-08-03,Wasserburg,158.9,170.1,Gravel supply,1,Meadow,0,0,90,100,0,0,Sand,steep,5
118,16rok3,rok3,rok,2016,Rottmündung,4511346,5316249,2016-08-03,Wasserburg,158.9,170.3,Gravel supply,1,Reed,0,0,90,100,0,0,Sand,moderatly_plain,6
119,16rok4,rok4,rok,2016,Rottmündung,4511347,5316316,2016-08-03,Wasserburg,158.9,170.3,Gravel supply,1,Meadow,0,0,80,100,0,0,Sand,plain,5.5
120,16rok5,rok5,rok,2016,Rottmündung,4511353,5316326,2016-08-03,Wasserburg,158.9,170.2,Gravel supply,1,pioneer_veg,0,0,40,50,30,50,Sand,medium,5.5
121,16frs1,frs1,frs,2016,Freihamer_Au,4515055,5322627,2016-08-29,Wasserburg,158.9,162.3,Sand supply,1,Sedge_reed,0,0,100,100,20,0,Sand,plain,5.5
122,16frs2,frs2,frs,2016,Freihamer_Au,4515054,5322615,2016-08-29,Wasserburg,158.9,162.3,Sand supply,1,Reed,0,0,150,100,80,0,Sand,plain,5.5
123,16frs3,frs3,frs,2016,Freihamer_Au,4515039,5322618,2016-08-29,Wasserburg,158.9,162.3,Sand supply,1,Sedge_reed,0,0,70,90,70,0,Sand,moderatly_plain,6
124,16frs4,frs4,frs,2016,Freihamer_Au,4514974,5322567,2016-08-29,Wasserburg,158.9,162.4,Sand supply,1,Reed,0,0,120,100,0,0,Sand,plain,5
125,16frs5,frs5,frs,2016,Freihamer_Au,4514980,5322574,2016-08-29,Wasserburg,158.9,162.4,Sand supply,1,Sedge_reed,0,0,90,80,20,0,Sand,plain,5.5
126,16vos1,vos1,vos,2016,Vorderleiten,4517827,5328888,2016-07-27,Teufelsbruck,147.2,151.5,Sand supply,1,Sedge_reed,0,0,80,100,0,0,Sand,plain,6
127,16vos2,vos2,vos,2016,Vorderleiten,4517830,5328906,2016-07-27,Teufelsbruck,147.2,151.5,Sand supply,1,Reed,160,5,120,100,0,0,Sand,plain,7
128,16vos3,vos3,vos,2016,Vorderleiten,4517833,5328944,2016-07-27,Teufelsbruck,147.2,151.5,Sand supply,1,Reed,0,0,60,40,0,70,Sand,plain,6
129,16vos4,vos4,vos,2016,Vorderleiten,4517834,5328910,2016-07-27,Teufelsbruck,147.2,151.6,Sand supply,1,Sedge_reed,0,0,100,70,0,20,Sand,plain,6
130,16vos5,vos5,vos,2016,Vorderleiten,4517828,5328862,2016-07-27,Teufelsbruck,147.2,151.6,Sand supply,1,Reed,0,0,80,100,0,70,Sand,plain,7
131,16wis1,wis1,wis,2016,Wies,4518100,5329877,2016-07-26,Teufelsbruck,147.2,150.5,Sand supply,1,Reed,120,10,90,100,0,5,Sand,plain,6
132,16wis2,wis2,wis,2016,Wies,4518091,5329868,2016-07-26,Teufelsbruck,147.2,150.5,Sand supply,1,Reed,0,0,80,80,0,10,Sand,plain,6
133,16wis3,wis3,wis,2016,Wies,4518145,5329924,2016-07-26,Teufelsbruck,147.2,150.4,Sand supply,1,Sedge_reed,0,0,70,80,0,20,Sand,plain,5.5
134,16wis4,wis4,wis,2016,Wies,4518215,5329984,2016-07-26,Teufelsbruck,147.2,150.3,Sand supply,1,Sedge_reed,0,0,110,90,0,40,Sand,plain,5.5
135,16wis5,wis5,wis,2016,Wies,4518278,5330033,2016-07-26,Teufelsbruck,147.2,150.2,Sand supply,1,Reed,0,0,80,60,0,20,Sand,plain,6
