"ACHIMILL"	"AGROCAPI"	"ANTHODOR"	"BRIZMEDI"	"BROMHORD"	"CAPSBURS"	"CAREFLAC"	"CAREHIRT"	"CARENIGR"	"CENTJACE"	"CERAARVE"	"CERAGLOM"	"CIRSARVE"	"CYNOCRIS"	"DAUCCARO"	"DESCCESP.CES"	"EQUIPALU"	"FESTOVIN"	"FESTPRAT"	"FESTRUBR"	"GALIMOLL"	"GALIULIG"	"HIERACIU"	"HOLCLANA"	"HYDRVULG"	"LEONAUTU"	"LOLIPERE"	"LOTUULIG"	"LUZUCAMP"	"MATRMARI.INO"	"MOLICAER"	"PHRAAUST"	"PLANLANC"	"POA_ANNU"	"POTEANSE"	"POTEEREC"	"POTEREPT"	"RANUACRI"	"RANUREPE"	"RUBUIDAE"	"RUMEACETOSEL"	"SENEJACO"	"STELGRAM"	"TRIFARVE"	"TRIFPRAT"	"TRIFREPE"	"VEROARVE"	"VEROCHAM"	"VICICRAC"	"VIOLTRIC"
"GE.MNP_2"	2.4	14	0	0	3.6	0.6	0	0.9	0	0	18	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	8.5	0	0	0	0	0	0	0.3	0	0	17	0	0	0	7.3	0	20	0	0	0.3	0.6	0	0.3	0
"GE.MNP_20"	0	0	0	0	0	0	0	0.8	0	0	0	0	13	0	0	4	0	0	0	0	0	1.6	0	5.6	0	0	0	0	0	0	0	0	0	0	0	0	5.6	0	3.2	16	0	0	3.2	0	0.8	2.4	0	0	5.6	0
"GE.MNP_21"	1.4	22	2	0	0	0	0	18	0	2	0	0	0	0	0	0	2	4.1	4.8	0	2.7	0	0	1.4	0	0	0	0	2.7	0	0	0	0	0	0	5.4	0	0	0	0	6.1	0	23	0	0	0	0	0	0	0
"GE.MNP_22"	0	13	3.9	0	0	0	0	0	34	0.8	0	0	0	0	0	0	0.8	11	0	0	0	0	0	4.7	0	0	0	0	10	0	0	0.8	0	0	0	17	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0
"GE.MNP_23"	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0
"GE.MNP_24"	0	0	0	0	0	0	0	4.4	0	0	28	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	6.3	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
"GE.MNP_25"	0.5	0	0	0	0	0	0	1.5	0	0	0	0	6.4	0	14	0	0	11	0	0	21	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	3	8.9	0
"GE.MNP_27"	11	0	0.9	0	0	0	0	8	0	0.4	0	0	2.2	0	0	0	3.1	0	0.4	4.9	6.7	0	0	4.5	0	2.2	0	0	0	0	0	0	6.7	0	0	0	11	0	0	0	0	0	8.5	0	0	3.1	0	4.5	12	0
"GE.MNP_28"	0	0	1.8	0	0	0	0	25	0	8	0	3.1	0.6	0	0	0	11	7.4	0	6.7	0	0	0	3.1	0	0.6	0	0	0	0	0	2.5	11	0	0	0	0	0	3.1	0	2.5	0	2.5	0	0	3.1	0	1.2	0	0
"GE.MNP_29"	0	0	0	14	0	0	4.3	0	0	4.3	0	0	0	0	0	0	0	7.1	1	0	0	1	0	0	5.2	0	0	0	0	0	10	3.8	12	0	0	16	1.4	1.4	0	0	0	0	0	0	0	0	0	0	0	0
"GE.MNP_3"	0	20	0	0	1.7	0	0	0	0	0	8.5	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8	0	0	0	0	0	0	32	0	0	0	0	0	2.3	0	0	0
"GE.MNP_31"	7.1	4.4	4.4	0	0	0	0	5.5	0	0	0	0	0	0	0	0	0	19	0	0.5	0	0	0	1.1	0	0	0	0	0	0	0	0	4.9	0	0	0	19	3.3	0	1.1	0	0	4.4	0	16	0	0	0	2.2	0
"GE.MNP_33"	5	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	1.2	0	0	0	0	7.5	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	1.9	0	13	0	0	1.9	0	0	1.9
"GE.MNP_34"	34	0	0	0	0	0	0	0	0	0	0	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	5.4	0	0	0	0	6.3	0	0	12
"GE.MNP_35"	0	0	0	0	0	19	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0.3	0	4.2	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	1.6	1	0	0	0	0	1.3	0	0	7.8
"GE.MNP_36"	0	0	0	0	0	15	0	0	0	0	0	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	3.2	0	0	6.3
"GE.MNP_37"	24	4.5	0	0	0	8.9	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0.8	9.3	0	0	0	0	2.4	0	0	2.4
"GE.MNP_38"	26	4.7	0	0	0	9.4	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0.9	4.3	0	0	0	0	2.6	0	0	2.6
"GE.MNP_39"	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1.7	0	0	0	0	6.9	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0.4	1.3	0	2.6	0	0	0.9	0	0	4.3
"GE.MNP_4"	0	1	0	0	0.5	4.8	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1.9	0	0	0	0	0	2.4	3.9	0	0	0	0	0	0	2.9	0	0	3.4	0	0	4.8	0	0	0
"GE.MNP_40"	0	0	17	0	0	21	0	0	0	0	0	8.5	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	1	0	0	2
"GE.MNP_41"	0	8.3	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0
"GE.MNP_42"	0	14	0	0	0	0	0	3.2	0	0	0	0	0	0	0	0	0	0	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GE.MNP_43"	0	21	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	4.9	0	0	0	0	0	0	0	0	0
"GE.MNP_44"	0	8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0
"GE.MNP_45"	0	31	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0
"GE.MNP_47"	6.5	0	0	0	0	0	0	51	0	0	0	0	0.6	0	0	0	0	0	0	23	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GE.MNP_48"	3	0	0	0	0	0	0	7.2	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.9	0	0	0	0.9	0	0	0	0	0	5.1	0	0	0
"GE.MNP_5"	0	20	0	0	18	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0.8	0	0	0	0	0	2.5	0	1.2	0
"GE.MNP_6"	25	0	0	0	9.7	0.6	0	0	0	0	18	0	0	0	0	0	0	0	4.2	3.9	0	0	0	0.3	0	0	0.3	0	0	0	0	0	0.9	3.3	0	0	1.5	0	6.1	0	0.3	0	0	0	0	0.9	0.9	0	0.3	0
"GE.MNP_7"	19	9.9	0	0	10	0.3	0	6.2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	2.8	0	0	0	0	0	0	0	0	0	4.6	3.7	0	0	1.2	0	0	0	0	1.9	1.5	0	1.2	0
"GE.MNP_8"	0	1.1	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
"GE.MNP_9"	0	2.9	0	0	5.1	2.2	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	0	0	0	0	0	0	10	0	0	0	0	0	0	8	0	0	0	0	0	0.7	0	0	0
