name,nomenclature,family,lifeform,growthform,sociology,rlg,rlb,neo
Carduus personata,http://www.worldfloraonline.org/taxon/wfo-0000087420,Asteraceae,N,biennial,na,*,na,0
Carex acuta,http://www.worldfloraonline.org/taxon/wfo-0000344146,Cyperaceae,na,perennial,na,*,na,0
Carex acutiformis,http://www.worldfloraonline.org/taxon/wfo-0000344201,Cyperaceae,N,perennial,1513,*,na,0
Carex cuprina,http://www.worldfloraonline.org/taxon/wfo-0000345812,Cyperaceae,N,perennial,8433,V,na,0
Carex elata,http://www.worldfloraonline.org/taxon/wfo-0000346341,Cyperaceae,N,perennial,1514,*,na,0
Carex elongata,http://www.worldfloraonline.org/taxon/wfo-0000346372,Cyperaceae,N,perennial,8211,*,3,0
Carex flacca,http://www.worldfloraonline.org/taxon/wfo-0000346645,Cyperaceae,N,perennial,na,*,na,0
Carex hirta,http://www.worldfloraonline.org/taxon/wfo-0000347452,Cyperaceae,N,perennial,3810,*,na,0
Carex hostiana,http://www.worldfloraonline.org/taxon/wfo-0000347546,Cyperaceae,N,perennial,1721,2,3,0
Carex nigra,http://www.worldfloraonline.org/taxon/wfo-0000349250,Cyperaceae,N,perennial,1730,*,na,0
Carex pseudocyperus,http://www.worldfloraonline.org/taxon/wfo-0000350327,Cyperaceae,N,perennial,1510,*,3,0
Carlina vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000130786,Asteraceae,H_T,perennial,5400,*,na,0
Carpinus betulus,http://www.worldfloraonline.org/taxon/wfo-0000804581,Betulaceae,P,wood,8432,*,na,0
Centaurium erythraea,http://www.worldfloraonline.org/taxon/wfo-0000593916,Gentianaceae,H_T,annual_biennial,6210,V,na,0
Chaenorhinum minus,http://www.worldfloraonline.org/taxon/wfo-0000598753,Scrophulariaceae,T,summer_annual,3300,*,na,0
Cirsium arvense,http://www.worldfloraonline.org/taxon/wfo-0000006870,Asteraceae,N,perennial,3000,*,na,0
Cirsium oleraceum,http://www.worldfloraonline.org/taxon/wfo-0000063143,Asteraceae,N,perennial,5415,*,na,0
Cirsium palustre,http://www.worldfloraonline.org/taxon/wfo-0000043760,Asteraceae,N,perennial,5410,*,na,0
Cirsium vulgare,http://www.worldfloraonline.org/taxon/wfo-0000081703,Asteraceae,N,biennial,3500,*,na,0
Clematis vitalba,http://www.worldfloraonline.org/taxon/wfo-0000610926,Ranunculaceae,N,wood,8410,*,na,0
Cornus sanguinea,http://www.worldfloraonline.org/taxon/wfo-0000924828,Cornaceae,P,wood,8410,*,na,0
Coryllus avellana,http://www.worldfloraonline.org/taxon/wfo-0000925259,Betulaceae,P,wood,8400,*,na,0
Dactylis glomerata,http://www.worldfloraonline.org/taxon/wfo-0000861498,Poaceae,N,perennial,na,*,na,0
Deschampsia cespitosa,http://www.worldfloraonline.org/taxon/wfo-0000862467,Poaceae,N,perennial,na,*,na,0
Echinochloa crus-galli,http://www.worldfloraonline.org/taxon/wfo-0000865236,Poaceae,T,summer_annual,3000,*,na,0
Eleocharis mamillata,http://www.worldfloraonline.org/taxon/wfo-0000404955,Cyperaceae,N,perennial,1712,*,3,0
Eleocharis palustris,http://www.worldfloraonline.org/taxon/wfo-0000405590,Cyperaceae,N,perennial,1510,*,*,0
Elymus repens,http://www.worldfloraonline.org/taxon/wfo-0000866643,Poaceae,N,perennial,5420,*,na,0
Epilobium hirsutum,http://www.worldfloraonline.org/taxon/wfo-0000669196,Onagraceae,N,na,3521,*,na,0
Epilobium parviflorum,http://www.worldfloraonline.org/taxon/wfo-0000669577,Onagraceae,N,perennial,1513,*,na,0
Epilobium tetragonum,http://www.worldfloraonline.org/taxon/wfo-0000669847,Onagraceae,N,perennial,3000,*,na,0
Equisetum arvense,http://www.worldfloraonline.org/taxon/wfo-0001108914,Equisetaceae,N,perennial,na,*,na,0
Equisetum hyemale,http://www.worldfloraonline.org/taxon/wfo-0000748047,Equisetaceae,N,perennial,8433,*,na,0
Equisetum palustre,http://www.worldfloraonline.org/taxon/wfo-0001108921,Equisetaceae,N,perennial,5410,*,na,0
Equisetum variegatum,http://www.worldfloraonline.org/taxon/wfo-0001108927,Equisetaceae,N,perennial,1722,2,3,0
Erigeron acris,http://www.worldfloraonline.org/taxon/wfo-0000085388,Asteraceae,H_T,na,5322,*,na,0
Erigeron annuus,http://www.worldfloraonline.org/taxon/wfo-0000069875,Asteraceae,N,na,3500,*,na,0
Erigeron canadensis,http://www.worldfloraonline.org/taxon/wfo-0000015917,Asteraceae,H_T,annual,3330,*,na,0
Euonymus europaeus,http://www.worldfloraonline.org/taxon/wfo-0000681728,Celastraceae,P,wood,8410,*,na,0
Eupatorium cannabinum,http://www.worldfloraonline.org/taxon/wfo-0000035116,Asteraceae,N,perennial,3521,*,na,0
Euphorbia cyparissias,http://www.worldfloraonline.org/taxon/wfo-0000961626,Euphorbiaceae,N,perennial,5300,*,na,0
Festuca arundinacea,http://www.worldfloraonline.org/taxon/wfo-0000869819,Poaceae,N,perennial,3811,*,na,0
Festuca spec,http://www.worldfloraonline.org/taxon/wfo-4000014703,Poaceae,N,na,na,na,na,na
Filipendula ulmaria,http://www.worldfloraonline.org/taxon/wfo-0000983427,Rosaceae,N,perennial,5412,*,na,0
Fragaria vesca,http://www.worldfloraonline.org/taxon/wfo-0000993770,Rosaceae,N,perennial,6200,*,na,0
Fraxinus excelsior,http://www.worldfloraonline.org/taxon/wfo-0000832453,Oleaceae,P,wood,3310,*,na,0
Galium anisophyllon,http://www.worldfloraonline.org/taxon/wfo-0000968286,Rubiaceae,N,perennial,na,*,na,0
Galium aparine,http://www.worldfloraonline.org/taxon/wfo-0000968296,Rubiaceae,T,annual,3500,*,na,0
Galium mollugo,http://www.worldfloraonline.org/taxon/wfo-0000969499,Rubiaceae,N,perennial,na,*,na,0
Geranium robertianum,http://www.worldfloraonline.org/taxon/wfo-0000701246,Geraniaceae,H_T,annual,3532,*,na,0
Glechoma hederacea,http://www.worldfloraonline.org/taxon/wfo-0000972872,Lamiaceae,N,perennial,3530,*,na,0
Hedera helix,http://www.worldfloraonline.org/taxon/wfo-0000979730,Araliaceae,N,wood,na,*,na,0
Herniaria glabra,http://www.worldfloraonline.org/taxon/wfo-0000720677,Caryophyllaceae,H_T,na,5200,*,na,0
Hippuris vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000723768,Hippuridaceae,N,na,1511,3,3,0
Holcus lanatus,http://www.worldfloraonline.org/taxon/wfo-0000874509,Poaceae,N,perennial,3211,*,na,0
Humulus lupulus,http://www.worldfloraonline.org/taxon/wfo-0000725866,Cannabaceae,N,perennial,8000,*,na,0
Hypericum maculatum,http://www.worldfloraonline.org/taxon/wfo-0000727911,Hypericaceae,N,perennial,5100,*,na,0
Hypericum perforatum,http://www.worldfloraonline.org/taxon/wfo-0000728093,Hypericaceae,N,perennial,6100,*,na,0
Impatiens glandulifera,http://www.worldfloraonline.org/taxon/wfo-0000730508,Balsaminaceae,T,summer_annual,3520,*,na,1
Iris pseudacorus,http://www.worldfloraonline.org/taxon/wfo-0000783754,Iridaceae,N,perennial,1510,*,na,0
Isolepis setacea,http://www.worldfloraonline.org/taxon/wfo-0000450321,Cyperaceae,H_T,na,3111,V,na,0
Jacobaea aquatica,http://www.worldfloraonline.org/taxon/wfo-0000041258,Asteraceae,N,perennial,5415,V,na,0
Juncus acutiflorus,http://www.worldfloraonline.org/taxon/wfo-0000775706,Juncaceae,N,perennial,5414,*,na,0
Juncus articulatus,http://www.worldfloraonline.org/taxon/wfo-0000775879,Juncaceae,N,perennial,1700,*,na,0
Juncus bulbosus,http://www.worldfloraonline.org/taxon/wfo-0000776091,Juncaceae,N,perennial,1410,*,na,0
Juncus conglomeratus,http://www.worldfloraonline.org/taxon/wfo-0000776253,Juncaceae,N,perennial,5410,*,na,0
Juncus effusus,http://www.worldfloraonline.org/taxon/wfo-0000776350,Juncaceae,N,perennial,5410,*,na,0
Juncus inflexus,http://www.worldfloraonline.org/taxon/wfo-0000776625,Juncaceae,N,perennial,3811,*,na,0
Juncus tenuis,http://www.worldfloraonline.org/taxon/wfo-0000777403,Juncaceae,N,perennial,3711,*,na,0
Lamium galeobdolon,http://www.worldfloraonline.org/taxon/wfo-0000222509,Lamiaceae,N,perennial,8430,*,na,0
Lamium maculatum,http://www.worldfloraonline.org/taxon/wfo-0000222579,Lamiaceae,N,perennial,na,*,na,0
Lonicera xylosteum,http://www.worldfloraonline.org/taxon/wfo-0000361644,Caprifoliaceae,P,wood,8400,*,na,0
Lycopus europaeus,http://www.worldfloraonline.org/taxon/wfo-0000231391,Lamiaceae,N,perennial,1500,*,na,0
Lysimachia nummularia,http://www.worldfloraonline.org/taxon/wfo-0000442792,Primulaceae,N,perennial,na,*,na,0
Lythrum salicaria,http://www.worldfloraonline.org/taxon/wfo-0000366878,Lythraceae,N,perennial,5412,*,na,0
Matricaria chamomilla,http://www.worldfloraonline.org/taxon/wfo-0000003146,Asteraceae,T,annual,3421,*,na,0
Medicago lupulina,http://www.worldfloraonline.org/taxon/wfo-0000213454,Fabaceae,H_T,na,5322,*,na,0
Melilotus officinalis,http://www.worldfloraonline.org/taxon/wfo-0000213864,Fabaceae,N,annual_biennial,3542,*,na,0
Mentha aquatica,http://www.worldfloraonline.org/taxon/wfo-0000240328,Lamiaceae,N,perennial,1510,*,na,0
Mentha longifolia,http://www.worldfloraonline.org/taxon/wfo-0000240918,Lamiaceae,N,perennial,3811,*,na,0
Myosotis scorpioides,http://www.worldfloraonline.org/taxon/wfo-0000368596,Boraginaceae,na,na,na,*,na,0
Phalaris arundinacea,http://www.worldfloraonline.org/taxon/wfo-0000889610,Poaceae,N,perennial,1510,*,na,0
Phragmites australis,http://www.worldfloraonline.org/taxon/wfo-0000890172,Poaceae,N,perennial,1511,*,na,0
Pilosella officinarum,http://www.worldfloraonline.org/taxon/wfo-0000068649,Asteraceae,N,perennial,5000,*,na,0
Pilosella piloselloides,http://www.worldfloraonline.org/taxon/wfo-0000032468,Asteraceae,N,perennial,4441,*,na,0
Plantago lanceolata,http://www.worldfloraonline.org/taxon/wfo-0000486603,Plantaginaceae,N,perennial,5400,*,na,0
Plantago major,http://www.worldfloraonline.org/taxon/wfo-0000486544,Plantaginaceae,N,perennial,3710,*,na,0
Poa annua,http://www.worldfloraonline.org/taxon/wfo-0000891536,Poaceae,T,na,na,*,na,0
Poa compressa,http://www.worldfloraonline.org/taxon/wfo-0000892001,Poaceae,N,perennial,5424,*,na,0
Poa palustris,http://www.worldfloraonline.org/taxon/wfo-0000893213,Poaceae,N,perennial,1510,*,na,0
Poa pratensis,http://www.worldfloraonline.org/taxon/wfo-0000893396,Poaceae,N,perennial,5400,*,na,0
Poa trivalis,http://www.worldfloraonline.org/taxon/wfo-0000894135,Poaceae,N,perennial,5400,*,na,0
Populus nigra,http://www.worldfloraonline.org/taxon/wfo-0000928297,Salicaceae,P,wood,8112,3,na,0
Potentilla anserina,http://www.worldfloraonline.org/taxon/wfo-0001016615,Rosaceae,N,perennial,3811,*,na,0
Potentilla erecta,http://www.worldfloraonline.org/taxon/wfo-0000984938,Rosaceae,N,perennial,5100,*,na,0
Potentilla neumanniana,http://www.worldfloraonline.org/taxon/wfo-0000995744,Rosaceae,N,perennial,na,*,na,0
Potentilla reptans,http://www.worldfloraonline.org/taxon/wfo-0001011690,Rosaceae,N,perennial,3811,*,na,0
Potentilla sterilis,http://www.worldfloraonline.org/taxon/wfo-0000988128,Rosaceae,N,perennial,8432,*,na,0
Prunella vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000283746,Lamiaceae,N,perennial,5400,*,na,0
Ranunculus acris,http://www.worldfloraonline.org/taxon/wfo-0000461396,Ranunculaceae,N,perennial,5400,*,na,0
Ranunculus repens,http://www.worldfloraonline.org/taxon/wfo-0000463205,Ranunculaceae,N,perennial,na,*,na,0
Reseda lutea,http://www.worldfloraonline.org/taxon/wfo-0000462651,Resedaceae,N,annual_biennial,3540,*,na,0
Rhinanthus glacialis,http://www.worldfloraonline.org/taxon/wfo-0001138801,Scrophulariaceae,T,na,na,3,3,0
Rorippa palustris,http://www.worldfloraonline.org/taxon/wfo-0000399555,Brassicaceae,T,na,na,*,na,0
Rubus caesius,http://www.worldfloraonline.org/taxon/wfo-0001017340,Rosaceae,N,wood,na,*,na,0
Rumex obtusifolius,http://www.worldfloraonline.org/taxon/wfo-0000403904,Polygonaceae,N,perennial,3811,*,na,0
Rumex palustris,http://www.worldfloraonline.org/taxon/wfo-0000403943,Polygonaceae,T,annual_biennial,3211,*,3,0
Sagina nodosa,http://www.worldfloraonline.org/taxon/wfo-0000438470,Caryophyllaceae,N,perennial,3811,2,na,0
Sagina procumbens,http://www.worldfloraonline.org/taxon/wfo-0000438492,Caryophyllaceae,N,perennial,3711,*,na,0
Salix alba,http://www.worldfloraonline.org/taxon/wfo-0000929085,Salicaceae,P,wood,8112,*,na,0
Salix alba x purpurea,http://www.worldfloraonline.org/taxon/wfo-4000033844,Salicaceae,P,wood,na,na,na,na
Salix aurita,http://www.worldfloraonline.org/taxon/wfo-0000928969,Salicaceae,P,wood,8212,*,na,0
Salix caprea,http://www.worldfloraonline.org/taxon/wfo-0000929313,Salicaceae,P,wood,6213,*,na,0
Salix cinerea,http://www.worldfloraonline.org/taxon/wfo-0000929149,Salicaceae,P,wood,8212,*,na,0
Salix daphnoides,http://www.worldfloraonline.org/taxon/wfo-0000929163,Salicaceae,P,wood,8111,2,3,0
Salix myrsinifolia,http://www.worldfloraonline.org/taxon/wfo-0000929897,Salicaceae,P,wood,na,3,na,0
Salix purpurea,http://www.worldfloraonline.org/taxon/wfo-0000930408,Salicaceae,P,wood,8110,*,na,0
Salix silesiaca,http://www.worldfloraonline.org/taxon/wfo-0000930238,Salicaceae,P,wood,na,*,na,0
Salix triandra,http://www.worldfloraonline.org/taxon/wfo-0000929571,Salicaceae,P,wood,8112,*,na,0
Salix viminalis,http://www.worldfloraonline.org/taxon/wfo-0000929391,Salicaceae,P,wood,8112,*,na,0
Scirpus sylvaticus,http://www.worldfloraonline.org/taxon/wfo-0000546234,Cyperaceae,N,perennial,5415,*,na,0
Scrophularia nodosa,http://www.worldfloraonline.org/taxon/wfo-0000496317,Scrophulariaceae,N,perennial,8430,*,na,0
Scrophularia umbrosa,http://www.worldfloraonline.org/taxon/wfo-0000496178,Scrophulariaceae,N,perennial,3521,*,na,0
Scutellaria galericulata,http://www.worldfloraonline.org/taxon/wfo-0000307828,Lamiaceae,N,perennial,1514,*,na,0
Silene latifolia,http://www.worldfloraonline.org/taxon/wfo-0000440842,Caryophyllaceae,N,short_perennial,3000,*,na,0
Solanum dulcamara,http://www.worldfloraonline.org/taxon/wfo-0001027661,Solanaceae,N,perennial,na,*,na,0
Solidago canadensis,http://www.worldfloraonline.org/taxon/wfo-0000060775,Asteraceae,N,perennial,3500,*,na,1
Solidago gigantea,http://www.worldfloraonline.org/taxon/wfo-0000132216,Asteraceae,N,perennial,3500,*,na,1
Sonchus asper,http://www.worldfloraonline.org/taxon/wfo-0000031264,Asteraceae,T,annual,3310,*,na,0
Stellaria aquatica,http://www.worldfloraonline.org/taxon/wfo-0000436514,Caryophyllaceae,N,perennial,3520,*,na,0
Symphytum officinale,http://www.worldfloraonline.org/taxon/wfo-0000432219,Boraginaceae,N,perennial,na,*,na,0
Taraxacum campylodes,http://www.worldfloraonline.org/taxon/wfo-0000093449,Asteraceae,N,na,na,*,na,0
Trifolium hybridum,http://www.worldfloraonline.org/taxon/wfo-0000213009,Fabaceae,N,perennial,3811,*,na,0
Trifolium pratense,http://www.worldfloraonline.org/taxon/wfo-0000213053,Fabaceae,N,perennial,5400,*,na,0
Tripleurospermum maritimum,http://www.worldfloraonline.org/taxon/wfo-0000063085,Asteraceae,T,na,2810,*,na,0
Tussilago farfara,http://www.worldfloraonline.org/taxon/wfo-0000117140,Asteraceae,N,perennial,3000,*,na,0
Typha latifolia,http://www.worldfloraonline.org/taxon/wfo-0000595260,Typhaceae,N,perennial,1511,*,na,0
Urtica dioica,http://www.worldfloraonline.org/taxon/wfo-0000416616,Urticaceae,N,perennial,3500,*,na,0
Valeriana officinalis,http://www.worldfloraonline.org/taxon/wfo-0000426953,Valerianaceae,N,perennial,5412,*,na,0
Verbascum densiflorum,http://www.worldfloraonline.org/taxon/wfo-0000420566,Scrophulariaceae,N,na,3541,*,na,0
Verbascum nigrum,http://www.worldfloraonline.org/taxon/wfo-0000420517,Scrophulariaceae,N,short_perennial,6212,*,na,0
Verbascum thapsus,http://www.worldfloraonline.org/taxon/wfo-0000419130,Scrophulariaceae,N,na,6210,*,na,0
Veronica arvensis,http://www.worldfloraonline.org/taxon/wfo-0000419753,Scrophulariaceae,T,summer_annual,5200,*,na,0
Veronica beccabunga,http://www.worldfloraonline.org/taxon/wfo-0000419789,Scrophulariaceae,N,perennial,1513,*,na,0
Veronica catenata,http://www.worldfloraonline.org/taxon/wfo-0000419450,Scrophulariaceae,N,summer_annual,na,*,3,0
Viburnum lantana,http://www.worldfloraonline.org/taxon/wfo-0000421166,Caprifoliaceae,P,wood,8412,*,na,0
Vicia cracca,http://www.worldfloraonline.org/taxon/wfo-0000214046,Fabaceae,N,perennial,5400,*,na,0
